項目数,項目集合,事例数,支持度,支持度（％）
1,和暦=平成,6038,0.7859932309294455,78.5993
1,性別=男,5483,0.7137464202030721,71.3746
1,発生場所1=学校内・校舎内（園内・園舎内）,3133,0.40783650091122103,40.7837
1,被災学校種=高,2948,0.3837542306690966,38.3754
1,発生場所1=学校内・校舎外（園内・園舎外）,2933,0.38180161416297836,38.1802
1,場合別1=課外指導,2846,0.37047643842749284,37.0476
1,場合別2=体育的部活動,2755,0.35863056495704243,35.8631
1,発生場所2=運動場・校庭（園庭）,2726,0.35485550637854724,35.4856
1,被災学年=2,2439,0.31749544389481904,31.7495
1,被災学校種=中,2225,0.28963811507419945,28.9638
1,被災学年=1,2218,0.28872689403801094,28.8727
1,性別=女,2199,0.2862535797969279,28.6254
1,被災学校種=小,1931,0.25136683155428274,25.1367
1,被災学年=3,1702,0.2215568862275449,22.1557
1,場合別1=休憩時間,1644,0.21400676907055455,21.4007
1,和暦=令和,1644,0.21400676907055455,21.4007
1,発生場所1=学校外（園外）,1616,0.21036188492580057,21.0362
1,場合別1=各教科等,1459,0.1899244988284301,18.9924
1,発生場所2=体育館・屋内運動場,1252,0.16297839104399897,16.2978
1,競技種目=野球（含軟式）,1117,0.14540484248893518,14.5405
1,場合別2=体育（保健体育）,1087,0.1414996094766988,14.15
1,発生場所2=教室（保育室）,782,0.10179640718562874,10.1796
1,場合別2=休憩時間中,632,0.08227024212444675,8.227
1,発生場所2=道路,616,0.08018745118458735,8.0187
1,場合別1=通学中,590,0.0768029159073158,7.6803
1,場合別2=昼食時休憩時間中,528,0.06873210101536058,6.8732
1,給付年度=18,506,0.0658682634730539,6.5868
1,競技種目=サッカー・フットサル,500,0.06508721687060662,6.5087
1,給付年度=19,497,0.06469669356938297,6.4697
1,発生場所2=学校外運動場・競技場,493,0.06417599583441812,6.4176
1,発生場所2=廊下,488,0.06352512366571206,6.3525
1,給付年度=22,467,0.06079146055714658,6.0791
1,給付年度=20,465,0.06053111168966415,6.0531
1,給付年度=21,463,0.060270762822181724,6.0271
1,被災学年=5,461,0.0600104139546993,6.001
1,給付年度=17,439,0.057146576412392604,5.7147
1,被災学年=6,438,0.05701640197865139,5.7016
1,給付年度=27,431,0.0561051809424629,5.6105
1,被災学年=4,420,0.05467326217130956,5.4673
1,給付年度=24,411,0.05350169226763864,5.3502
1,給付年度=26,409,0.05324134340015621,5.3241
1,給付年度=30,403,0.05246029679770893,5.246
1,給付年度=29,398,0.05180942462900286,5.1809
1,給付年度=2,393,0.0511585524602968,5.1159
1,給付年度=28,388,0.05050768029159073,5.0508
1,給付年度=23,381,0.04959645925540224,4.9596
1,場合別1=保育中,380,0.04946628482166102,4.9466
1,給付年度=25,380,0.04946628482166102,4.9466
1,発生場所2=その他,379,0.04933611038791981,4.9336
1,場合別1=学校行事,375,0.048815412652954956,4.8815
1,場合別1=特別活動（除学校行事）,365,0.04751366831554283,4.7514
1,給付年度=1,363,0.0472533194480604,4.7253
1,通学方法=自転車,356,0.04634209841187191,4.6342
1,競技種目=バスケットボール,345,0.04491017964071856,4.491
1,給付年度=3,321,0.04178599323092944,4.1786
1,場合別2=下校（降園）中,319,0.041525644363447016,4.1526
1,給付年度=5,308,0.040093725592293676,4.0094
1,場合別2=授業終了後の特定時間中,285,0.03709971361624577,3.71
1,給付年度=4,259,0.03371517833897422,3.3715
1,被災学校種=保,250,0.03254360843530331,3.2544
1,場合別2=登校（登園）中,249,0.032413434001562096,3.2413
1,競技種目=ソフトボール,213,0.02772715438687842,2.7727
1,通学方法=徒歩,202,0.026295235615725072,2.6295
1,場合別2=始業前の特定時間中,199,0.02590471231450143,2.5905
1,発生場所2=学校外体育館,173,0.022520177037229888,2.252
1,発生場所2=実習実験室,160,0.020827909398594115,2.0828
1,場合別2=その他の教科,158,0.020567560531111688,2.0568
1,競技種目=バレーボール,158,0.020567560531111688,2.0568
1,競技種目=柔道,142,0.018484769591252278,1.8485
1,競技種目=バドミントン,137,0.01783389742254621,1.7834
1,場合別2=日常の清掃,129,0.016792501952616504,1.6793
1,競技種目=その他,127,0.01653215308513408,1.6532
1,被災学校種=幼,119,0.015490757615204374,1.5491
1,発生場所2=階段,119,0.015490757615204374,1.5491
1,競技種目=テニス（含ソフトテニス）,111,0.014449362145274668,1.4449
1,発生場所2=プール,108,0.014058838844051028,1.4059
1,競技種目=ラグビー,104,0.013538141109086176,1.3538
1,発生場所2=昇降口・玄関,102,0.01327779224160375,1.3278
1,競技種目=水泳,93,0.01210622233793283,1.2106
1,競技種目=持久走・長距離走,91,0.011845873470450404,1.1846
1,場合別2=運動会・体育祭,88,0.011455350169226764,1.1455
1,場合別2=学級（ホームルーム）活動,88,0.011455350169226764,1.1455
1,被災学校種=特高,87,0.01132517573548555,1.1325
1,競技種目=マット運動,83,0.010804478000520697,1.0804
1,場合別2=競技大会・球技大会,77,0.010023431398073419,1.0023
2,和暦=平成 | 性別=男,4296,0.559229367352252,55.9229
2,場合別1=課外指導 | 場合別2=体育的部活動,2755,0.35863056495704243,35.8631
2,発生場所1=学校内・校舎外（園内・園舎外） | 発生場所2=運動場・校庭（園庭）,2719,0.3539442853423588,35.3944
2,和暦=平成 | 発生場所1=学校内・校舎内（園内・園舎内）,2451,0.31905753709971363,31.9058
2,性別=男 | 被災学校種=高,2373,0.308903931267899,30.8904
2,和暦=平成 | 発生場所1=学校内・校舎外（園内・園舎外）,2311,0.3008331163759438,30.0833
2,場合別1=課外指導 | 性別=男,2308,0.3004425930747201,30.0443
2,場合別2=体育的部活動 | 性別=男,2264,0.29471491799010674,29.4715
2,和暦=平成 | 被災学校種=高,2256,0.29367352252017703,29.3674
2,性別=男 | 発生場所1=学校内・校舎外（園内・園舎外）,2255,0.29354334808643584,29.3543
2,和暦=平成 | 場合別1=課外指導,2192,0.2853423587607394,28.5342
2,和暦=平成 | 発生場所2=運動場・校庭（園庭）,2142,0.27883363707367875,27.8834
2,和暦=平成 | 場合別2=体育的部活動,2127,0.27688102056756053,27.6881
2,性別=男 | 発生場所2=運動場・校庭（園庭）,2107,0.2742775318927363,27.4278
2,性別=男 | 発生場所1=学校内・校舎内（園内・園舎内）,2047,0.26646706586826346,26.6467
2,和暦=平成 | 被災学年=2,1924,0.25045561051809423,25.0456
2,性別=男 | 被災学年=2,1823,0.2373079927102317,23.7308
