前件,後件,項目数,共起事例数,支持度,信頼度,lift
発生場所2=プール,発生場所1=学校内・校舎外（園内・園舎外） | 競技種目=水泳,3,79,0.010283780265555844,0.7314814814814815,69.37334247828076
発生場所1=学校内・校舎外（園内・園舎外） | 競技種目=水泳,発生場所2=プール,3,79,0.010283780265555844,0.9753086419753086,69.37334247828075
競技種目=水泳,発生場所2=プール,2,79,0.010283780265555844,0.8494623655913979,60.421943448825175
競技種目=水泳,発生場所1=学校内・校舎外（園内・園舎外） | 発生場所2=プール,3,79,0.010283780265555844,0.8494623655913979,60.421943448825175
発生場所2=プール,競技種目=水泳,2,79,0.010283780265555844,0.7314814814814815,60.42194344882517
発生場所1=学校内・校舎外（園内・園舎外） | 発生場所2=プール,競技種目=水泳,3,79,0.010283780265555844,0.7314814814814815,60.42194344882517
通学方法=徒歩,場合別2=下校（降園）中 | 被災学校種=小,3,107,0.013928664410309816,0.5297029702970297,36.992529252925294
場合別2=下校（降園）中 | 被災学校種=小,通学方法=徒歩,3,107,0.013928664410309816,0.9727272727272728,36.992529252925294
通学方法=徒歩,場合別1=通学中 | 被災学校種=小,3,147,0.019135641759958345,0.7277227722772277,36.3010801080108
場合別1=通学中 | 被災学校種=小,通学方法=徒歩,3,147,0.019135641759958345,0.9545454545454546,36.3010801080108
通学方法=徒歩,発生場所2=道路 | 被災学校種=小,3,137,0.01783389742254621,0.6782178217821783,34.27677175612298
発生場所2=道路 | 被災学校種=小,通学方法=徒歩,3,137,0.01783389742254621,0.9013157894736842,34.276771756122976
場合別1=特別活動（除学校行事） | 発生場所1=学校内・校舎内（園内・園舎内）,場合別2=日常の清掃,3,110,0.014319187711533454,0.39285714285714285,23.39479512735327
場合別2=日常の清掃,場合別1=特別活動（除学校行事） | 発生場所1=学校内・校舎内（園内・園舎内）,3,110,0.014319187711533454,0.8527131782945736,23.394795127353266
発生場所1=学校外（園外） | 被災学校種=小,通学方法=徒歩,3,147,0.019135641759958345,0.6125,23.293193069306934
通学方法=徒歩,発生場所1=学校外（園外） | 被災学校種=小,3,147,0.019135641759958345,0.7277227722772277,23.29319306930693
被災学校種=保,場合別1=保育中 | 発生場所2=教室（保育室）,3,107,0.013928664410309816,0.428,22.99227972027972
場合別1=保育中 | 発生場所2=教室（保育室）,被災学校種=保,3,107,0.013928664410309816,0.7482517482517482,22.99227972027972
場合別1=特別活動（除学校行事） | 性別=男,場合別2=日常の清掃,3,90,0.01171569903670919,0.38461538461538464,22.90399522957663
場合別2=日常の清掃,場合別1=特別活動（除学校行事） | 性別=男,3,90,0.01171569903670919,0.6976744186046512,22.903995229576626
被災学校種=幼,和暦=平成 | 場合別1=保育中,3,105,0.01366831554282739,0.8823529411764706,21.936036550542546
和暦=平成 | 場合別1=保育中,被災学校種=幼,3,105,0.01366831554282739,0.33980582524271846,21.936036550542546
和暦=平成 | 場合別1=特別活動（除学校行事）,場合別2=日常の清掃,3,107,0.013928664410309816,0.3566666666666667,21.23963824289406
場合別2=日常の清掃,和暦=平成 | 場合別1=特別活動（除学校行事）,3,107,0.013928664410309816,0.8294573643410853,21.239638242894056
被災学校種=保,場合別1=保育中 | 性別=男,3,133,0.017313199687581358,0.532,21.175253886010363
場合別1=保育中 | 性別=男,被災学校種=保,3,133,0.017313199687581358,0.689119170984456,21.17525388601036
場合別1=特別活動（除学校行事）,場合別2=日常の清掃,2,129,0.016792501952616504,0.35342465753424657,21.046575342465754
場合別1=特別活動（除学校行事）,場合別2=日常の清掃 | 発生場所1=学校内・校舎内（園内・園舎内）,3,110,0.014319187711533454,0.3013698630136986,21.046575342465754
場合別1=特別活動（除学校行事）,和暦=平成 | 場合別2=日常の清掃,3,107,0.013928664410309816,0.29315068493150687,21.046575342465754
場合別1=特別活動（除学校行事）,場合別2=学級（ホームルーム）活動,2,88,0.011455350169226764,0.2410958904109589,21.046575342465754
場合別1=特別活動（除学校行事）,場合別2=日常の清掃 | 被災学校種=小,3,81,0.01054412913303827,0.2219178082191781,21.046575342465754
場合別2=日常の清掃,場合別1=特別活動（除学校行事）,2,129,0.016792501952616504,1.0,21.04657534246575
場合別2=日常の清掃 | 発生場所1=学校内・校舎内（園内・園舎内）,場合別1=特別活動（除学校行事）,3,110,0.014319187711533454,1.0,21.04657534246575
和暦=平成 | 場合別2=日常の清掃,場合別1=特別活動（除学校行事）,3,107,0.013928664410309816,1.0,21.04657534246575
場合別1=特別活動（除学校行事）,場合別2=日常の清掃 | 性別=男,3,90,0.01171569903670919,0.2465753424657534,21.04657534246575
場合別2=日常の清掃 | 性別=男,場合別1=特別活動（除学校行事）,3,90,0.01171569903670919,1.0,21.04657534246575
場合別2=学級（ホームルーム）活動,場合別1=特別活動（除学校行事）,2,88,0.011455350169226764,1.0,21.04657534246575
場合別2=日常の清掃 | 被災学校種=小,場合別1=特別活動（除学校行事）,3,81,0.01054412913303827,1.0,21.04657534246575
場合別2=運動会・体育祭,場合別1=学校行事,2,88,0.011455350169226764,1.0,20.485333333333333
場合別1=学校行事,場合別2=運動会・体育祭,2,88,0.011455350169226764,0.23466666666666666,20.485333333333333
場合別1=学校行事,場合別2=競技大会・球技大会,2,77,0.010023431398073419,0.20533333333333334,20.485333333333333
場合別2=競技大会・球技大会,場合別1=学校行事,2,77,0.010023431398073419,1.0,20.485333333333333
場合別2=日常の清掃,場合別1=特別活動（除学校行事） | 被災学校種=小,3,81,0.01054412913303827,0.627906976744186,20.438904217579818
