クラスタ,順位,代表特徴,中心値
0,1,通学方法_（欠損）,0.9990657567977905
0,2,競技種目_（欠損）,0.9738398194313049
0,3,発生場所1_学校内・校舎外（園内・園舎外）,0.931174099445343
0,4,発生場所2_運動場・校庭（園庭）,0.8302710056304932
0,5,遊具等_（欠損）,0.7876048684120178
0,6,性別_男,0.6468388438224792
0,7,被災学校種_小,0.573652982711792
0,8,場合別1_休憩時間,0.5646216869354248
0,9,性別_女,0.3531609773635864
0,10,場合別2_昼食時休憩時間中,0.24135780334472656
0,11,被災学年_1,0.21270635724067688
0,12,被災学年_2,0.20803488790988922
0,13,被災学年_3,0.2071005254983902
0,14,被災学校種_中,0.20492054522037506
0,15,場合別1_学校行事,0.16038616001605988
1,1,通学方法_（欠損）,0.9999996423721313
1,2,場合別1_課外指導,0.9966259002685547
1,3,場合別2_体育的部活動,0.9951795339584351
1,4,遊具等_（欠損）,0.9925283193588257
1,5,発生場所1_学校内・校舎外（園内・園舎外）,0.9891539812088013
1,6,発生場所2_運動場・校庭（園庭）,0.948903501033783
1,7,性別_男,0.8850326538085938
1,8,被災学校種_高,0.6570257544517517
1,9,競技種目_野球（含軟式）,0.5712219476699829
1,10,被災学年_2,0.4198603332042694
1,11,被災学年_1,0.39985543489456177
1,12,被災学校種_中,0.321282297372818
1,13,被災学年_3,0.16582311689853668
1,14,競技種目_サッカー・フットサル,0.15762829780578613
1,15,性別_女,0.1149674579501152
2,1,通学方法_（欠損）,0.9999999403953552
2,2,競技種目_（欠損）,0.9965267181396484
2,3,遊具等_（欠損）,0.9942110776901245
2,4,発生場所1_学校内・校舎内（園内・園舎内）,0.9558385014533997
2,5,性別_男,0.6453852653503418
2,6,場合別1_休憩時間,0.5168707370758057
2,7,被災学校種_小,0.42507442831993103
2,8,発生場所2_教室（保育室）,0.38670188188552856
2,9,性別_女,0.35461461544036865
2,10,被災学校種_中,0.27803507447242737
2,11,被災学年_2,0.24495534598827362
2,12,場合別2_休憩時間中,0.22527284920215607
2,13,被災学年_3,0.21733377873897552
2,14,被災学年_1,0.21716836094856262
2,15,発生場所2_廊下,0.21584516763687134
3,1,遊具等_（欠損）,0.9999997615814209
3,2,発生場所1_学校外（園外）,0.9989694356918335
3,3,競技種目_（欠損）,0.9974238276481628
3,4,場合別1_通学中,0.9119009971618652
3,5,発生場所2_道路,0.8851106762886047
3,6,性別_男,0.6264810562133789
3,7,通学方法_自転車,0.5471406579017639
3,8,被災学校種_高,0.5208653211593628
3,9,場合別2_下校（降園）中,0.48840799927711487
3,10,場合別2_登校（登園）中,0.3946419358253479
3,11,性別_女,0.37351879477500916
3,12,被災学年_1,0.3596085011959076
3,13,被災学年_2,0.3116949498653412
3,14,通学方法_徒歩,0.3086037337779999
3,15,被災学年_3,0.23596082627773285
4,1,遊具等_（欠損）,1.0
4,2,通学方法_（欠損）,1.0
4,3,発生場所1_学校内・校舎内（園内・園舎内）,0.9987696409225464
4,4,発生場所2_体育館・屋内運動場,0.9658567309379578
4,5,性別_男,0.6173484325408936
4,6,場合別1_各教科等,0.4992311894893646
4,7,場合別2_体育（保健体育）,0.4903107285499573
4,8,場合別1_課外指導,0.46847134828567505
4,9,場合別2_体育的部活動,0.4678560793399811
4,10,被災学校種_高,0.4613965153694153
4,11,被災学校種_中,0.38541993498802185
4,12,性別_女,0.38265159726142883
4,13,被災学年_2,0.33251315355300903
4,14,被災学年_1,0.32174721360206604
4,15,被災学年_3,0.24669334292411804
5,1,通学方法_（欠損）,0.9999998807907104
5,2,発生場所1_学校内・校舎外（園内・園舎外）,0.9577545523643494
5,3,場合別1_各教科等,0.9490740299224854
5,4,遊具等_（欠損）,0.9461805820465088
5,5,場合別2_体育（保健体育）,0.9363425374031067
5,6,発生場所2_運動場・校庭（園庭）,0.8599535822868347
5,7,性別_男,0.7152777910232544
5,8,被災学校種_高,0.4317130446434021
5,9,被災学年_3,0.35706016421318054
5,10,被災学校種_中,0.29108792543411255
5,11,性別_女,0.28472229838371277
5,12,被災学年_2,0.25983792543411255
5,13,被災学校種_小,0.25636574625968933
5,14,競技種目_サッカー・フットサル,0.21759261190891266
5,15,競技種目_ソフトボール,0.210069477558136
6,1,遊具等_（欠損）,0.9999999403953552
6,2,通学方法_（欠損）,0.9999999403953552
6,3,場合別1_課外指導,0.961311936378479
6,4,場合別2_体育的部活動,0.9450995922088623
6,5,発生場所1_学校外（園外）,0.8784082531929016
6,6,性別_男,0.8404570817947388
6,7,被災学校種_高,0.6845985651016235
6,8,発生場所2_学校外運動場・競技場,0.5607958436012268
6,9,被災学年_2,0.44583651423454285
6,10,被災学年_1,0.3168754279613495
6,11,競技種目_野球（含軟式）,0.30434784293174744
6,12,被災学校種_中,0.3025055527687073
6,13,被災学年_3,0.22955051064491272
6,14,発生場所2_学校外体育館,0.18386144936084747
6,15,競技種目_サッカー・フットサル,0.16396470367908478
