主成分,順位,特徴,負荷量,絶対負荷量
PC1,1,場合別2_体育的部活動,0.4074408710002899,0.4074408710002899
PC1,2,場合別1_課外指導,0.40437695384025574,0.40437695384025574
PC1,3,競技種目_（欠損）,-0.3952185809612274,0.3952185809612274
PC1,4,発生場所1_学校内・校舎内（園内・園舎内）,-0.2662923336029053,0.2662923336029053
PC1,5,被災学校種_高,0.26578378677368164,0.26578378677368164
PC1,6,発生場所1_学校内・校舎外（園内・園舎外）,0.23087570071220398,0.23087570071220398
PC1,7,発生場所2_運動場・校庭（園庭）,0.2306661754846573,0.2306661754846573
PC1,8,被災学校種_小,-0.2242187112569809,0.2242187112569809
PC1,9,競技種目_野球（含軟式）,0.2128278911113739,0.2128278911113739
PC1,10,場合別1_休憩時間,-0.2052662968635559,0.2052662968635559
PC1,11,性別_女,-0.14806032180786133,0.14806032180786133
PC1,12,性別_男,0.14806030690670013,0.14806030690670013
PC1,13,発生場所2_教室（保育室）,-0.1149340271949768,0.1149340271949768
PC1,14,被災学年_2,0.08864565193653107,0.08864565193653107
PC1,15,場合別2_休憩時間中,-0.08736621588468552,0.08736621588468552
PC1,16,被災学年_1,0.07975756376981735,0.07975756376981735
PC1,17,発生場所2_学校外運動場・競技場,0.06915659457445145,0.06915659457445145
PC1,18,発生場所2_廊下,-0.0659116581082344,0.0659116581082344
PC1,19,競技種目_サッカー・フットサル,0.06505228579044342,0.06505228579044342
PC1,20,場合別2_昼食時休憩時間中,-0.060551587492227554,0.060551587492227554
PC2,1,発生場所1_学校内・校舎外（園内・園舎外）,0.535480260848999,0.535480260848999
PC2,2,発生場所2_運動場・校庭（園庭）,0.5139247179031372,0.5139247179031372
PC2,3,発生場所1_学校内・校舎内（園内・園舎内）,-0.28526562452316284,0.28526562452316284
PC2,4,発生場所1_学校外（園外）,-0.2502146065235138,0.2502146065235138
PC2,5,発生場所2_体育館・屋内運動場,-0.22277173399925232,0.22277173399925232
PC2,6,被災学校種_小,0.21085096895694733,0.21085096895694733
PC2,7,場合別1_休憩時間,0.17645181715488434,0.17645181715488434
PC2,8,被災学校種_高,-0.17565129697322845,0.17565129697322845
PC2,9,場合別1_課外指導,-0.15398921072483063,0.15398921072483063
PC2,10,場合別2_体育的部活動,-0.14834684133529663,0.14834684133529663
PC2,11,競技種目_（欠損）,0.11331739276647568,0.11331739276647568
PC2,12,発生場所2_学校外運動場・競技場,-0.098350390791893,0.098350390791893
PC2,13,発生場所2_道路,-0.09003819525241852,0.09003819525241852
PC2,14,被災学年_2,-0.08588815480470657,0.08588815480470657
PC2,15,場合別1_通学中,-0.08513592183589935,0.08513592183589935
PC2,16,通学方法_（欠損）,0.08513592183589935,0.08513592183589935
PC2,17,遊具等_（欠損）,-0.07831431925296783,0.07831431925296783
PC2,18,場合別2_昼食時休憩時間中,0.07322453707456589,0.07322453707456589
PC2,19,競技種目_バスケットボール,-0.06819495558738708,0.06819495558738708
PC2,20,通学方法_自転車,-0.06098643317818642,0.06098643317818642
PC3,1,発生場所1_学校外（園外）,0.41522324085235596,0.41522324085235596
PC3,2,発生場所1_学校内・校舎内（園内・園舎内）,-0.40851303935050964,0.40851303935050964
PC3,3,発生場所2_体育館・屋内運動場,-0.29787272214889526,0.29787272214889526
PC3,4,場合別1_通学中,0.2814992666244507,0.2814992666244507
PC3,5,通学方法_（欠損）,-0.2814992368221283,0.2814992368221283
PC3,6,発生場所2_道路,0.27691102027893066,0.27691102027893066
PC3,7,競技種目_（欠損）,0.2752384841442108,0.2752384841442108
PC3,8,場合別1_各教科等,-0.2578960359096527,0.2578960359096527
PC3,9,場合別2_体育（保健体育）,-0.23341932892799377,0.23341932892799377
PC3,10,通学方法_自転車,0.1761924773454666,0.1761924773454666
PC3,11,場合別2_下校（降園）中,0.15233272314071655,0.15233272314071655
PC3,12,被災学校種_中,-0.14251211285591125,0.14251211285591125
PC3,13,場合別2_登校（登園）中,0.11943362653255463,0.11943362653255463
PC3,14,被災学校種_高,0.10815920680761337,0.10815920680761337
PC3,15,通学方法_徒歩,0.09142222255468369,0.09142222255468369
PC3,16,発生場所2_学校外運動場・競技場,0.06086861342191696,0.06086861342191696
PC3,17,競技種目_バスケットボール,-0.06051185727119446,0.06051185727119446
PC3,18,被災学年_1,0.055345192551612854,0.055345192551612854
PC3,19,発生場所2_教室（保育室）,-0.04630452021956444,0.04630452021956444
