元列名,特徴量,相互情報量
通学方法,通学方法_自転車,0.01919276656803485
被災学校種,被災学校種_高,0.016583664531178377
発生場所2,発生場所2_道路,0.012606732573932994
場合別1,場合別1_通学中,0.012104168283256556
通学方法,通学方法_（欠損）,0.012104168283256556
場合別1,場合別1_保育中,0.010453401175320157
場合別2,場合別2_（欠損）,0.008701487077463535
発生場所1,発生場所1_学校外（園外）,0.007810860146710674
被災学校種,被災学校種_保,0.007650512254090719
被災学校種,被災学校種_小,0.006968865595897614
場合別2,場合別2_登校（登園）中,0.005847417461325249
発生場所1,発生場所1_学校内・校舎内（園内・園舎内）,0.005749266628173433
競技種目,競技種目_野球（含軟式）,0.005669221914017364
場合別2,場合別2_下校（降園）中,0.005256180509920355
発生場所2,発生場所2_教室（保育室）,0.004191363602696438
被災学校種,被災学校種_幼,0.0026303904077267107
場合別1,場合別1_休憩時間,0.002561761302972601
場合別2,場合別2_体育的部活動,0.0025001265157919006
競技種目,競技種目_ホッケー,0.0023220856593630787
場合別1,場合別1_課外指導,0.0022116155200364307
発生場所2,発生場所2_実習実験室,0.0021089746778280623
競技種目,競技種目_バスケットボール,0.0018119278695089627
競技種目,競技種目_ソフトボール,0.0016306190397372827
場合別1,場合別1_各教科等,0.0016159504508408001
被災学年,被災学年_6,0.0014185655082163268
被災学年,被災学年_5,0.0014013412219528731
被災学校種,被災学校種_中,0.001357206739364264
競技種目,競技種目_（欠損）,0.001218907794626245
被災学年,被災学年_4,0.0011791108581015869
場合別2,場合別2_家庭（技術・家庭）,0.0011748558645221577
発生場所2,発生場所2_昇降口・玄関,0.0011587249825267968
競技種目,競技種目_跳箱運動,0.0010954941331927756
性別,性別_男,0.0009683017891690127
性別,性別_女,0.0009683017891690127
場合別2,場合別2_休憩時間中,0.0009671846574636836
場合別2,場合別2_昼食時休憩時間中,0.0009427432874004327
競技種目,競技種目_バドミントン,0.0009406710372065006
競技種目,競技種目_マット運動,0.00091931816636057
競技種目,競技種目_柔道,0.0009035760632622805
発生場所2,発生場所2_遊戯室,0.0009031374850597927
被災学年,被災学年_3,0.0008007750671350233
給付年度,給付年度_3,0.0007641521928596767
場合別2,場合別2_図画工作（美術）,0.0007523381950590088
被災学校種,被災学校種_特高,0.0006895060151892035
給付年度,給付年度_5,0.0006813416323378889
場合別2,場合別2_始業前の特定時間中,0.000670727497815389
遊具等,遊具等_総合遊具・アスレティック,0.0006619118000357575
競技種目,競技種目_サッカー・フットサル,0.0006157172713843403
遊具等,遊具等_（欠損）,0.0005730289560346678
通学方法,通学方法_原動機付自転車,0.0005414052422677527
競技種目,競技種目_投てき,0.0005414052422677527
競技種目,競技種目_水泳,0.0005301834646550124
発生場所2,発生場所2_ベランダ,0.0005112896600019973
競技種目,競技種目_体操（組体操）,0.0004976523916327153
給付年度,給付年度_19,0.0004920676976023219
被災学年,被災学年_2,0.00048722127821190786
場合別2,場合別2_その他の教科,0.00045365025322428
場合別2,場合別2_体育（保健体育）,0.00045036134346471135
場合別2,場合別2_通学（通園）に準ずるとき,0.00044498470142939617
発生場所2,発生場所2_その他,0.00042943867792209073
競技種目,競技種目_持久走・長距離走,0.0003912469098048838
被災学校種,被災学校種_幼連,0.00039087152053268216
競技種目,競技種目_レスリング,0.0003607780265529881
場合別2,場合別2_給食指導,0.00035103085827354556
競技種目,競技種目_障害走（ハードル）,0.00033068894632693434
場合別2,場合別2_理科,0.00031655153643089665
競技種目,競技種目_ラグビー,0.0003094899730543242
競技種目,競技種目_走り幅跳び,0.00030060427855075483
場合別2,場合別2_工業,0.0002836174164618987
遊具等,遊具等_固定タイヤ,0.00027052402192713487
遊具等,遊具等_砂場,0.00027052402192713487
競技種目,競技種目_バレーボール,0.00026177837120162223
場合別2,場合別2_学級（ホームルーム）活動,0.0002613859335901785
発生場所2,発生場所2_学校外運動場・競技場,0.0002519389468647326
給付年度,給付年度_30,0.0002468798326881738
遊具等,遊具等_ぶらんこ,0.00022868619523981528
被災学校種,被災学校種_特中,0.0002238602910212533
給付年度,給付年度_17,0.00022357274669925625
給付年度,給付年度_23,0.000221592300307695
発生場所2,発生場所2_農場,0.0002103767369384616
場合別2,場合別2_文化的クラブ活動,0.0002103767369384616
競技種目,競技種目_縄跳び,0.0002103767369384616
被災学校種,被災学校種_特小,0.000195914050238475
競技種目,競技種目_卓球,0.0001958641011103471
場合別2,場合別2_遠足,0.00018925235301044813
給付年度,給付年度_1,0.00016672048630146652
場合別2,場合別2_その他,0.00016463447147791344
発生場所2,発生場所2_プール,0.00015802769585008224
場合別1,場合別1_特別活動（除学校行事）,0.00014938973843699188
場合別2,場合別2_体育的クラブ活動,0.00014463649166007037
競技種目,競技種目_鉄棒運動,0.00013503794731487256
遊具等,遊具等_回旋塔,0.00012018886064258695
通学方法,通学方法_バス,0.00012018886064258695
被災学年,被災学年_0,0.00012018886064258695
競技種目,競技種目_球技（その他）,0.00011351990298777773
場合別2,場合別2_文化的行事,0.0001120741431914268
給付年度,給付年度_20,0.00011093112787711329
発生場所2,発生場所2_河川,0.00011087977410364006
場合別2,場合別2_その他健康安全・体育的行事,9.762483022172875e-05
給付年度,給付年度_18,9.474835243587776e-05
競技種目,競技種目_テニス（含ソフトテニス）,9.144015910084007e-05
競技種目,競技種目_運動なし,9.013504366937874e-05
発生場所2,発生場所2_屋上,9.013504366937874e-05
発生場所2,発生場所2_手足洗場,9.013504366937874e-05
遊具等,遊具等_施設を使用していない,9.013504366937874e-05
競技種目,競技種目_武道等（その他）,9.013504366937874e-05
給付年度,給付年度_2,8.848623727056304e-05
競技種目,競技種目_ボクシング,8.808860091103063e-05
競技種目,競技種目_短距離走,8.220283244776434e-05
場合別2,場合別2_その他儀式的行事,7.819208852044048e-05
場合別2,場合別2_文化的部活動,7.568192314982066e-05
遊具等,遊具等_シーソー,6.860622246446235e-05
給付年度,給付年度_22,6.832046310336487e-05
発生場所2,発生場所2_山林野（含スキー場）,6.648497448613622e-05
発生場所2,発生場所2_体育館・屋内運動場,6.476736626503943e-05
場合別2,場合別2_自立活動,6.432370966386047e-05
競技種目,競技種目_走り高跳び,6.0964356147162266e-05
発生場所2,発生場所2_海・湖・沼・池,6.037022559181879e-05
競技種目,競技種目_ヨット,6.008562877098545e-05
発生場所2,発生場所2_水飲み場,6.008562877098545e-05
発生場所2,発生場所2_排水溝,6.008562877098545e-05
場合別2,場合別2_総合的な学習の時間,5.7483199964072744e-05
遊具等,遊具等_遊動円木,5.5214323182146237e-05
競技種目,競技種目_登山,5.5214323182146237e-05
場合別2,場合別2_林間学校,5.5214323182146237e-05
競技種目,競技種目_相撲,5.2847233913930506e-05
競技種目,競技種目_弓道,5.143194746364465e-05
場合別2,場合別2_大掃除,4.8370379910602813e-05
遊具等,遊具等_鉄棒,4.72308606505583e-05
給付年度,給付年度_25,4.464970173501115e-05
発生場所2,発生場所2_学校外体育館,4.32999673116892e-05
給付年度,給付年度_21,3.911505158850359e-05
給付年度,給付年度_29,3.881267458925863e-05
競技種目,競技種目_自転車競技,3.2609356647725525e-05
場合別2,場合別2_水泳指導,3.197978598282582e-05
発生場所2,発生場所2_公園,3.0040614643951028e-05
通学方法,通学方法_その他,3.0040614643951028e-05
場合別2,場合別2_道徳,3.0040614643951028e-05
競技種目,競技種目_準備運動等,3.0040614643951028e-05
競技種目,競技種目_自転車競技部,3.0040614643951028e-05
通学方法,通学方法_自動車,3.0040614643951028e-05
遊具等,遊具等_その他,2.6332878435941613e-05
競技種目,競技種目_ドッジボール,2.5987570088393044e-05
場合別1,場合別1_寄宿舎にあるとき,2.5987570088393044e-05
通学方法,通学方法_鉄道,2.3542057897754827e-05
給付年度,給付年度_24,2.2825432414781688e-05
給付年度,給付年度_26,2.2589278460154183e-05
被災学校種,被災学校種_高専,2.2513940785119993e-05
被災学年,被災学年_1,2.0121855144439316e-05
競技種目,競技種目_剣道,1.957693727652407e-05
場合別2,場合別2_競技大会・球技大会,1.8752824631745185e-05
発生場所2,発生場所2_便所,1.8574317721291485e-05
給付年度,給付年度_4,1.834705917622137e-05
発生場所2,発生場所2_廊下,1.829752461963291e-05
競技種目,競技種目_スケート,1.7128856689092647e-05
給付年度,給付年度_27,1.694889788060594e-05
競技種目,競技種目_体操（その他）,1.564989549317653e-05
場合別2,場合別2_運動会・体育祭,1.554829017315698e-05
遊具等,遊具等_すべり台,1.3693830788631851e-05
遊具等,遊具等_登り棒,1.2152110406104697e-05
競技種目,競技種目_器械体操・新体操（その他）,1.2152110406104697e-05
発生場所2,発生場所2_講堂,1.1728693911625555e-05
競技種目,競技種目_陸上競技（その他）,1.1231077532061935e-05
場合別2,場合別2_授業終了後の特定時間中,1.0917494781347015e-05
競技種目,競技種目_空手,8.794510622967856e-06
発生場所2,発生場所2_公園・遊園地,8.589730728255501e-06
競技種目,競技種目_準備・整理運動,7.992090612913075e-06
発生場所2,発生場所2_運動場・校庭（園庭）,6.261254334172239e-06
遊具等,遊具等_ジャングルジム,6.164995136783216e-06
遊具等,遊具等_雲てい,6.164995136783216e-06
場合別2,場合別2_その他学級活動,4.717369882346542e-06
場合別2,場合別2_勤労生産・奉仕的行事,3.903759163348484e-06
通学方法,通学方法_徒歩,3.7923524891514404e-06
場合別1,場合別1_学校行事,3.302476608464666e-06
場合別2,場合別2_その他集団宿泊的行事,3.1899120948551685e-06
競技種目,競技種目_ポートボール,2.9282977718669747e-06
競技種目,競技種目_筋力トレーニング,2.6566202553351265e-06
発生場所1,発生場所1_学校内・校舎外（園内・園舎外）,1.255838548097632e-06
場合別2,場合別2_日常の清掃,1.070133384854094e-06
場合別2,場合別2_農業,9.183382124649045e-07
発生場所2,発生場所2_階段,7.726645099188911e-07
場合別2,場合別2_修学旅行,4.441517178705237e-07
競技種目,競技種目_ハンドボール,2.236798404327972e-07
競技種目,競技種目_スキー,1.4995004613081037e-07
場合別2,場合別2_児童（生徒・学生）会活動,1.4995004613081037e-07
競技種目,競技種目_その他,9.263170448747804e-08
給付年度,給付年度_28,2.318857814098685e-09
