順位,因子,カテゴリ数,安定性基準適合カテゴリ数,CramersV（バイアス補正）,相互情報量,最大絶対調整済み標準化残差,最大絶対log2OR（合計20件・両群3件以上）,p値（カイ二乗）,順位点_CramersV（バイアス補正）,順位点_相互情報量,順位点_最大絶対調整済み標準化残差,順位点_最大絶対log2OR（合計20件・両群3件以上）,総合重要度スコア,解釈上の注意
1,場合別2,40,28,0.22122985666543732,0.028820435385620576,10.462997487381804,3.7690866898952184,2.2874424636508746e-64,100.0,100.0,58.333333333333336,100.0,89.58333333333333,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
2,通学方法,8,3,0.22119295624500945,0.01991024772280267,19.407652746896648,2.7863132901623686,1.1591445997318778e-78,91.66666666666666,58.333333333333336,100.0,83.33333333333334,83.33333333333334,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
3,被災学校種,10,7,0.21475432579754758,0.027522748196281845,16.15532148538835,1.3153872967989968,9.382617061822952e-73,75.0,91.66666666666666,91.66666666666666,58.333333333333336,79.16666666666666,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
4,場合別1,8,7,0.21759892224512942,0.026018608535334383,14.875217455498673,1.80306186134376,4.5683310496903974e-76,83.33333333333334,83.33333333333334,75.0,66.66666666666666,77.08333333333334,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
5,発生場所2,26,15,0.20063702995445207,0.021570406958419688,15.17069618867626,2.331117266342023,7.716799471146073e-56,66.66666666666666,75.0,83.33333333333334,75.0,75.0,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
6,競技種目,49,26,0.18423272973193847,0.020483517473872306,9.748348853453665,3.477171336317386,9.057586269361934e-40,58.333333333333336,66.66666666666666,50.0,91.66666666666666,66.66666666666666,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
7,発生場所1,3,3,0.14006683013319798,0.009540307611280718,11.350266613786193,1.0262293597369738,6.9732540389727365e-34,50.0,50.0,66.66666666666666,41.66666666666667,52.08333333333333,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
8,被災学年,7,6,0.08995113092392945,0.004875158901807628,4.4106931321757505,0.9279099068166519,9.79197598784692e-13,41.66666666666667,41.66666666666667,33.33333333333333,33.33333333333333,37.5,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
9,給付年度,19,19,0.06200236109754372,0.0031977428051658784,3.263019965373702,0.7743396513557569,0.00017675781081408258,33.33333333333333,33.33333333333333,16.666666666666664,25.0,27.08333333333333,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
10,和暦,2,2,0.05274979074325102,0.0015166333200117982,4.729991841609246,0.49990327866435874,2.2452885984787734e-06,25.0,16.666666666666664,41.66666666666667,16.666666666666664,25.0,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
11,遊具等,15,5,0.026258469770210992,0.0018929388839173274,2.8343681915203565,1.2686706847048577,0.1538747208512343,8.333333333333332,25.0,8.333333333333332,50.0,22.916666666666664,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
12,性別,2,2,0.042012305773525965,0.0009683017891690127,3.8154101822793494,0.3551942838569835,0.00013595690286874695,16.666666666666664,8.333333333333332,25.0,8.333333333333332,14.583333333333332,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
