全候補内順位,因子,カテゴリ,研究テーマ候補,方向,歯牙障害件数,歯牙障害以外件数,合計件数,歯牙障害群内割合（％）,歯牙障害以外群内割合（％）,割合差（pt）,オッズ比,95%CI下限,95%CI上限,絶対log2OR,Fisher_p値,BH補正p値,効果量点,割合差点,統計的確実性点,対象規模点,研究優先度スコア,解釈上の注意
1,被災学校種,高,被災学校種「高」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,886,2062,2948,55.969677826910925,33.8088211182161,22.160856708694823,2.488691315280814,2.2238295882199433,2.78509850555221,1.3153872967989968,2.5935197042593387e-57,1.5431442240343066e-55,88.23529411764706,100.0,99.15966386554622,97.47899159663865,95.29411764705881,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
2,発生場所2,道路,発生場所2「道路」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,273,343,616,17.24573594440935,5.623872766027217,11.621863178382133,3.4971802461442594,2.9506933927842205,4.144879879397217,1.8061921550625255,4.917883962120836e-44,1.9507606383079315e-42,94.9579831932773,96.63865546218487,98.31932773109243,80.67226890756302,94.07563025210082,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
3,場合別1,通学中,場合別1「通学中」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,262,328,590,16.55085281111813,5.377930808329234,11.172922002788896,3.4896004505086684,2.935068266409654,4.14890223970371,1.80306186134376,2.2694125343693608e-42,6.751502289748848e-41,94.11764705882352,94.9579831932773,97.47899159663865,79.83193277310924,93.0252100840336,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
4,通学方法,自転車,通学方法「自転車」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,218,138,356,13.771320277953253,2.2626660108214462,11.508654267131806,6.898646281254977,5.529790328129604,8.606351722194574,2.7863132901623686,5.007418688124331e-66,5.958828238867954e-64,99.15966386554622,95.7983193277311,100.0,57.14285714285714,92.22689075630252,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
5,被災学校種,小,被災学校種「小」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,245,1686,1931,15.476942514213517,27.643876045253318,-12.1669335310398,0.47927671299916486,0.4136285072982266,0.5553441398991038,1.0610692506049864,5.232963928684369e-25,1.0378711791890665e-23,81.5126050420168,97.47899159663865,95.7983193277311,89.91596638655463,90.33613445378151,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
6,発生場所1,学校外（園外）,発生場所1「学校外（園外）」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,497,1119,1616,31.39608338597599,18.347270044269553,13.048813341706438,2.036694167543041,1.798483430538694,2.306456129463126,1.0262293597369738,6.71680156032693e-28,1.5985987713578092e-26,78.99159663865547,99.15966386554622,96.63865546218487,86.5546218487395,89.57983193277312,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
7,発生場所2,教室（保育室）,発生場所2「教室（保育室）」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,81,701,782,5.116866708780796,11.49368748975242,-6.376820780971624,0.415269417286699,0.32763865841043965,0.5263380388940689,1.2678804671734187,1.824367705171585e-15,1.9736341537765326e-14,85.71428571428571,90.75630252100841,91.59663865546219,82.35294117647058,87.94117647058823,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
8,場合別2,登校（登園）中,場合別2「登校（登園）中」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,117,132,249,7.39102969046115,2.164289227742253,5.226740462718897,3.6077297531936003,2.7947226568571746,4.657247093962186,1.8510912736460392,2.3199840641653678e-21,3.9439729090811256e-20,95.7983193277311,85.71428571428571,94.9579831932773,51.26050420168067,86.38655462184875,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
9,競技種目,野球（含軟式）,競技種目「野球（含軟式）」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,352,765,1117,22.236260265319014,12.543039842597148,9.693220422721867,1.9937751867603255,1.732216543251513,2.2948282712272836,0.9955027441237518,1.1712598732458152e-20,1.5486658324028003e-19,76.47058823529412,94.11764705882352,93.27731092436974,84.03361344537815,86.21848739495798,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
10,場合別2,下校（降園）中,場合別2「下校（降園）中」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,135,184,319,8.528111181301327,3.016888014428595,5.511223166872732,2.997106203459044,2.3826648302230526,3.7699996578921997,1.5835702071377633,2.993821076593778e-19,3.562647081146596e-18,92.43697478991596,89.07563025210085,92.43697478991596,54.621848739495796,85.92436974789916,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
