語1,語2,共起事例数,Jaccard（ネットワーク重み）
練習,部,272,0.40296296296296297
前歯,部,218,0.22064777327935223
ボール,練習,200,0.30120481927710846
前歯,当たる,200,0.21482277121374865
加える,歯科,196,0.98989898989899
加える,補綴,195,0.9898477157360406
歯科,補綴,195,0.9898477157360406
当たる,練習,195,0.2880354505169867
前歯,練習,195,0.19736842105263158
ボール,部,193,0.2780979827089337
ボール,当たる,187,0.2992
部,野球,184,0.36363636363636365
当たる,部,184,0.2587904360056259
前歯,顔面,182,0.17704280155642024
ボール,前歯,180,0.19088016967126192
前歯,本,174,0.2283464566929134
前歯,転倒,171,0.18037974683544303
転倒,顔面,169,0.23537604456824512
折,破る,168,0.9180327868852459
口,当たる,159,0.260655737704918
強打,顔面,159,0.25158227848101267
前歯,破る,155,0.20917678812415655
前歯,折,154,0.2072678331090175
自転車,転倒,152,0.329004329004329
歯,部,150,0.1925545571245186
前歯,負傷,147,0.15522703273495247
練習,野球,146,0.2802303262955854
歯,練習,146,0.19210526315789472
口,部,145,0.20743919885550788
強打,転倒,141,0.2522361359570662
部,顔面,141,0.16926770708283315
口,練習,137,0.20029239766081872
前歯,強打,132,0.14814814814814814
練習,顔面,131,0.1597560975609756
ボール,歯,127,0.17663421418636996
負傷,顔面,125,0.16960651289009498
当たる,歯,124,0.16986301369863013
前歯,口,124,0.1297071129707113
前歯,歯科,123,0.15471698113207547
場,運動,122,0.6971428571428572
前歯,補綴,122,0.15365239294710328
前歯,加える,122,0.15326633165829145
ボール,野球,120,0.2464065708418891
加える,歯,120,0.23032629558541268
歯,歯科,120,0.23032629558541268
歯,負傷,120,0.17216642754662842
練習,試合,119,0.20517241379310344
歯,補綴,118,0.22648752399232247
ボール,口,115,0.1780185758513932
歯,転倒,115,0.15818431911966988
バランス,崩す,114,0.8769230769230769
試合,部,112,0.18360655737704917
当たる,野球,109,0.21541501976284586
前歯,歯,109,0.10321969696969698
負傷,転倒,108,0.16289592760180996
前歯,折れる,108,0.1411764705882353
歯,顔面,108,0.13090909090909092
負傷,部,107,0.14247669773635152
ボール,顔面,107,0.1364795918367347
ボール,試合,106,0.19887429643527205
前歯,試合,103,0.12046783625730995
ボール,負傷,102,0.1515601783060921
練習,負傷,102,0.13915416098226466
前歯,相手,102,0.12289156626506025
前歯,顔,101,0.12577833125778332
前歯,床,96,0.11793611793611794
口,歯,94,0.1325811001410437
相手,試合,90,0.25139664804469275
補綴,部,90,0.15254237288135594
加える,部,90,0.15202702702702703
歯科,部,90,0.15202702702702703
前歯,打つ,88,0.10538922155688622
前歯,野球,88,0.10501193317422435
自転車,顔面,87,0.1407766990291262
前歯,自転車,87,0.10235294117647059
当たる,試合,86,0.1532976827094474
相手,部,84,0.13725490196078433
