行番号,記号,文字数（空白含む）,文字数（空白除外）,形態素数,解析対象語数
1,17障6,71,71,45,18
2,17障13,59,59,44,16
3,17障26,49,49,34,14
4,17障33,46,46,34,10
5,17障48,54,54,34,13
6,17障61,35,35,23,9
7,17障73,72,72,47,19
8,17障76,44,44,25,10
9,17障87,84,84,49,21
10,17障92,114,114,84,28
11,17障98,94,94,60,23
12,17障110,105,105,76,31
13,17障114,44,44,32,12
14,17障115,84,84,54,22
15,17障121,60,60,39,12
16,17障122,88,88,60,17
17,17障129,56,56,38,16
18,17障135,45,45,29,8
19,17障136,86,86,51,17
20,17障138,50,50,29,9
21,17障141,84,84,60,24
22,17障146,111,111,76,28
23,17障151,75,75,52,20
24,17障159,47,47,27,12
25,17障160,35,35,20,9
26,17障169,75,75,47,18
27,17障175,28,28,19,6
28,17障190,76,76,48,16
29,17障196,102,102,69,25
30,17障204,75,75,41,17
31,17障207,44,44,26,9
32,17障208,54,54,31,13
33,17障211,56,56,32,13
34,17障216,105,105,65,21
35,17障217,50,50,30,13
36,17障220,112,112,68,24
37,17障225,66,66,44,15
38,17障227,54,54,38,13
39,17障235,49,49,33,12
40,17障248,137,137,100,34
41,17障264,45,45,30,10
42,17障266,82,82,56,15
43,17障267,136,136,81,27
44,17障273,58,58,34,13
45,17障274,64,64,42,14
46,17障288,51,51,33,13
47,17障289,44,44,31,14
48,17障293,40,40,27,8
49,17障295,62,62,39,16
50,17障297,57,57,39,9
51,17障300,35,35,24,11
52,17障302,73,73,46,14
53,17障303,60,60,35,14
54,17障304,56,56,32,12
55,17障305,34,34,24,8
56,17障312,46,46,28,12
57,17障317,65,65,42,16
58,17障318,56,56,38,16
59,17障324,63,63,44,19
60,17障327,55,55,32,12
61,17障329,148,148,99,31
62,17障333,62,62,35,13
63,17障336,52,52,32,11
64,17障338,46,46,27,9
65,17障343,46,46,25,10
66,17障344,66,66,44,17
67,17障345,43,43,26,10
68,17障346,159,159,105,38
69,17障347,49,49,32,15
70,17障348,72,72,45,19
71,17障349,69,69,39,13
72,17障352,42,42,25,10
73,17障354,76,76,43,20
74,17障355,45,45,27,12
75,17障359,43,43,29,13
76,17障361,98,98,58,18
77,17障362,40,40,30,11
78,17障363,58,58,35,16
79,17障365,71,71,41,20
80,17障366,42,42,26,11
81,17障368,59,59,38,19
82,17障369,40,40,25,11
83,17障374,50,50,30,13
84,17障375,60,60,38,17
85,17障376,90,90,56,22
86,17障378,46,46,31,15
87,17障384,60,60,40,14
88,17障389,44,44,30,12
89,17障391,90,90,60,22
90,17障393,68,68,47,19
91,17障396,115,115,73,28
92,17障397,137,137,88,34
93,17障398,52,52,33,13
94,17障400,47,47,30,12
95,17障401,69,69,42,18
96,17障402,56,56,34,15
97,17障403,45,45,26,10
98,17障404,42,42,24,10
99,17障406,77,77,48,19
100,17障407,35,35,23,10
101,17障409,56,56,34,14
102,17障410,49,49,31,14
103,17障411,43,43,28,11
104,17障413,75,75,41,19
105,17障414,46,46,27,11
106,17障415,57,57,38,13
107,18障6,77,77,50,19
108,18障16,40,40,28,9
109,18障25,46,46,29,12
110,18障29,34,34,26,12
111,18障34,60,60,40,17
112,18障46,47,47,33,12
113,18障48,57,57,41,11
114,18障83,58,58,41,17
115,18障92,61,61,43,13
116,18障136,44,44,31,10
117,18障151,74,74,41,15
118,18障152,89,89,49,17
119,18障153,86,86,52,19
120,18障155,81,81,51,19
121,18障162,47,47,31,13
122,18障171,43,43,28,14
123,18障175,44,44,33,14
124,18障178,62,62,44,16
125,18障185,68,68,40,18
126,18障193,41,41,26,12
127,18障194,101,101,56,25
128,18障221,57,57,33,12
129,18障223,55,55,31,15
130,18障224,89,89,63,22
131,18障226,66,66,38,15
132,18障228,84,84,45,21
133,18障229,34,34,20,7
134,18障239,34,34,25,10
135,18障245,82,82,48,19
136,18障251,35,35,26,11
137,18障255,73,73,49,16
138,18障256,47,47,29,11
139,18障261,32,32,18,9
140,18障271,47,47,31,9
141,18障274,46,46,31,13
142,18障277,46,46,32,12
143,18障280,27,27,20,7
144,18障283,66,66,43,17
145,18障292,42,42,26,12
146,18障293,85,85,52,21
147,18障295,73,73,50,20
148,18障299,42,42,32,12
149,18障302,90,90,62,19
150,18障303,48,48,31,11
151,18障304,110,110,68,25
152,18障306,48,48,30,10
153,18障308,43,43,26,10
154,18障309,59,59,35,12
155,18障313,62,62,41,17
156,18障314,56,56,30,15
157,18障320,105,105,59,24
158,18障321,58,58,40,14
159,18障324,69,69,43,19
160,18障328,78,78,44,24
161,18障329,75,75,49,22
162,18障339,48,48,27,10
163,18障341,39,39,27,11
164,18障343,45,45,30,11
165,18障344,38,38,29,7
166,18障346,57,57,34,15
167,18障352,49,49,31,12
168,18障357,52,52,32,11
169,18障358,65,65,40,15
170,18障360,49,49,35,12
171,18障364,45,45,26,9
172,18障366,72,72,47,15
173,18障367,53,53,30,11
174,18障370,78,78,44,16
175,18障371,42,42,24,11
176,18障375,43,43,30,11
177,18障377,41,41,26,10
178,18障378,52,52,33,14
179,18障379,59,59,33,13
180,18障380,39,39,24,11
181,18障381,59,59,35,14
182,18障387,68,68,39,14
183,18障388,121,121,73,31
184,18障389,50,50,26,10
185,18障390,52,52,30,11
186,18障391,51,51,32,13
187,18障392,61,61,35,13
188,18障393,37,37,24,10
189,18障395,57,57,39,16
190,18障397,39,39,21,8
191,18障401,89,89,58,16
192,18障402,50,50,31,13
193,18障404,51,51,32,10
194,18障406,60,60,35,13
195,18障410,36,36,23,9
196,18障420,72,72,45,18
197,18障424,36,36,28,11
198,18障427,41,41,30,11
199,18障428,36,36,27,13
200,18障429,42,42,31,13
201,18障433,61,61,39,17
202,18障435,95,95,64,24
203,18障437,40,40,27,11
204,18障440,58,58,35,13
205,18障448,25,25,17,7
206,18障450,32,32,21,9
207,18障451,68,68,35,15
208,18障452,37,37,25,10
209,18障453,50,50,31,13
210,18障455,37,37,21,9
211,18障456,29,29,21,7
212,18障458,39,39,23,11
213,18障464,40,40,25,11
214,18障465,53,53,30,11
215,18障466,36,36,24,11
216,18障467,48,48,29,13
217,18障468,19,19,14,5
218,18障469,61,61,41,18
219,18障470,73,73,53,19
220,18障471,47,47,32,13
221,18障481,40,40,30,13
222,19障1,41,41,29,7
223,19障10,36,36,24,10
224,19障17,47,47,32,10
225,19障26,133,133,79,28
226,19障28,88,88,57,16
227,19障34,62,62,37,11
228,19障37,40,40,28,12
229,19障46,56,56,38,16
230,19障50,103,103,64,25
231,19障51,81,81,53,19
232,19障52,62,62,39,14
233,19障53,36,36,25,12
234,19障55,87,87,51,18
235,19障57,116,116,69,25
236,19障63,90,90,59,21
237,19障83,96,96,59,22
238,19障84,34,34,24,11
239,19障91,92,92,51,18
240,19障95,67,67,47,16
241,19障113,48,48,32,11
242,19障116,43,43,27,12
243,19障118,156,156,96,31
244,19障127,43,43,29,13
245,19障133,51,51,36,13
246,19障134,59,59,37,12
247,19障155,43,43,27,10
248,19障159,93,93,62,22
249,19障163,142,142,95,36
250,19障166,49,49,31,11
251,19障172,118,118,81,32
252,19障176,120,120,81,28
253,19障178,82,82,56,20
254,19障179,33,33,16,5
255,19障180,55,55,40,13
256,19障182,40,40,27,12
257,19障197,81,81,51,20
258,19障199,64,64,40,13
259,19障209,57,57,35,13
260,19障227,64,64,45,13
261,19障228,62,62,40,13
262,19障229,40,40,31,8
263,19障241,61,61,35,15
264,19障242,95,95,59,24
265,19障244,86,86,53,20
266,19障246,119,119,86,28
267,19障248,51,51,31,8
268,19障256,48,48,31,11
269,19障261,80,80,45,16
270,19障266,23,23,17,6
271,19障273,115,115,74,25
272,19障276,65,65,40,14
273,19障286,39,39,25,10
274,19障287,20,20,13,6
275,19障288,91,91,58,25
276,19障289,69,69,43,19
277,19障290,29,29,17,6
278,19障292,59,59,34,16
279,19障294,73,73,40,19
280,19障296,62,62,40,15
281,19障312,27,27,14,7
282,19障316,90,90,64,17
283,19障318,87,87,51,16
284,19障321,45,45,31,10
285,19障323,81,81,56,15
286,19障324,57,57,40,13
287,19障327,111,111,76,29
288,19障334,52,52,31,11
289,19障340,68,68,47,15
290,19障341,72,72,43,18
291,19障342,41,41,29,11
292,19障351,87,87,55,19
293,19障353,58,58,37,12
294,19障354,45,45,27,9
295,19障355,51,51,33,11
296,19障356,35,35,25,9
297,19障357,47,47,27,10
298,19障358,30,30,19,8
299,19障359,34,34,17,5
300,19障371,19,19,13,6
301,19障372,17,17,13,6
302,19障373,72,72,46,19
303,19障374,46,46,25,9
304,19障375,29,29,18,7
305,19障376,42,42,25,7
306,19障377,46,46,24,10
307,19障378,29,29,17,5
308,19障379,26,26,17,5
309,19障380,48,48,32,12
310,19障381,62,62,37,15
311,19障382,62,62,35,13
312,19障383,34,34,21,8
313,19障395,43,43,28,14
314,19障396,38,38,27,7
315,19障397,39,39,23,8
316,19障402,30,30,17,5
317,19障403,50,50,28,11
318,19障404,36,36,21,8
319,19障405,37,37,24,9
320,19障406,57,57,36,12
321,19障407,33,33,19,9
322,19障408,46,46,30,11
323,19障410,41,41,26,8
324,19障411,31,31,22,8
325,19障416,120,120,76,31
326,19障417,30,30,19,7
327,19障422,41,41,26,10
328,19障423,49,49,27,10
329,19障426,32,32,22,9
330,19障428,77,77,52,16
331,19障429,35,35,25,9
332,19障431,52,52,33,16
333,19障446,29,29,19,6
334,19障447,13,13,8,4
335,19障448,28,28,20,6
336,19障449,57,57,36,14
337,19障453,38,38,26,9
338,19障454,43,43,31,11
339,19障455,43,43,27,12
340,19障456,31,31,24,8
341,19障457,39,39,26,10
342,19障459,34,34,18,7
343,19障460,50,50,29,12
344,19障461,63,63,42,14
345,19障465,149,149,99,42
346,19障467,144,144,94,34
347,19障468,79,79,52,18
348,19障470,17,17,11,5
349,20障29,56,56,39,13
350,20障31,47,47,33,11
351,20障32,52,52,32,13
352,20障37,80,80,58,20
353,20障38,64,64,46,17
354,20障45,63,63,38,13
355,20障57,76,76,44,14
356,20障58,52,52,32,11
357,20障67,109,109,72,25
358,20障97,52,52,32,13
359,20障108,114,114,71,28
360,20障109,87,87,62,23
361,20障116,27,27,21,6
362,20障123,40,40,26,10
363,20障124,11,11,7,3
364,20障131,20,20,13,6
365,20障142,48,48,28,10
366,20障149,45,45,32,14
367,20障157,69,69,44,18
368,20障158,35,35,23,8
369,20障160,40,40,32,12
370,20障177,89,89,57,14
371,20障182,38,38,25,10
372,20障183,100,100,71,22
373,20障185,84,84,54,21
374,20障201,60,60,39,13
375,20障202,29,29,21,5
376,20障204,47,47,31,8
377,20障205,74,74,49,16
378,20障217,65,65,46,15
379,20障225,53,53,36,15
380,20障230,88,88,60,21
381,20障231,39,39,26,10
382,20障234,47,47,30,10
383,20障236,67,67,44,16
384,20障244,69,69,43,15
385,20障245,89,89,58,22
386,20障251,80,80,52,18
387,20障252,28,28,17,8
388,20障265,89,89,50,17
389,20障266,58,58,34,9
390,20障267,86,86,51,21
391,20障269,67,67,41,14
392,20障270,23,23,18,5
393,20障272,33,33,27,7
394,20障286,29,29,20,7
395,20障287,51,51,27,10
396,20障292,77,77,50,19
397,20障298,40,40,27,13
398,20障300,54,54,36,15
399,20障303,24,24,15,7
400,20障310,75,75,46,15
401,20障320,59,59,36,14
402,20障323,47,47,27,10
403,20障326,30,30,20,6
404,20障329,39,39,24,10
405,20障331,36,36,20,9
406,20障332,27,27,18,8
407,20障334,54,54,33,12
408,20障336,39,39,26,9
409,20障337,33,33,21,7
410,20障339,31,31,17,5
411,20障342,40,40,20,8
412,20障345,70,70,44,17
413,20障346,34,34,19,8
414,20障348,32,32,19,9
415,20障349,74,74,43,13
416,20障350,45,45,29,12
417,20障355,35,35,19,6
418,20障357,56,56,33,12
419,20障358,56,56,33,11
420,20障360,41,41,22,8
421,20障362,43,43,29,10
422,20障364,52,52,35,12
423,20障366,31,31,19,9
424,20障367,37,37,23,10
425,20障372,40,40,23,7
426,20障373,39,39,21,7
427,20障378,45,45,29,14
428,20障380,33,33,21,7
429,20障383,42,42,30,11
430,20障385,38,38,22,7
431,20障392,27,27,18,9
432,20障398,56,56,37,16
433,20障399,41,41,26,11
434,20障406,54,54,35,13
435,20障407,63,63,39,15
436,20障409,34,34,22,9
437,20障410,82,82,58,18
438,20障411,37,37,25,9
439,20障412,32,32,22,8
440,20障413,26,26,21,10
441,20障414,50,50,28,10
442,20障415,39,39,21,10
443,20障416,41,41,25,11
444,20障417,56,56,38,14
445,20障418,43,43,32,11
446,20障419,34,34,22,7
447,20障420,34,34,22,12
448,20障422,53,53,35,12
449,20障424,37,37,25,10
450,20障425,56,56,33,12
451,20障426,53,53,35,14
452,20障427,31,31,23,8
453,20障429,71,71,50,18
454,20障435,111,111,79,29
455,20障437,41,41,25,9
456,21障5,72,72,52,18
457,21障14,51,51,36,16
458,21障36,96,96,67,21
459,21障37,51,51,27,9
460,21障45,111,111,67,22
461,21障49,112,112,67,24
462,21障64,102,102,68,25
463,21障75,56,56,37,13
464,21障79,106,106,71,26
465,21障82,148,148,98,37
466,21障83,126,126,84,28
467,21障89,91,91,60,23
468,21障95,105,105,73,26
469,21障113,99,99,61,24
470,21障118,91,91,64,23
471,21障123,74,74,45,15
472,21障131,78,78,41,11
473,21障132,57,57,36,12
474,21障136,71,71,49,20
475,21障138,77,77,47,15
476,21障145,50,50,31,13
477,21障147,56,56,40,15
478,21障151,76,76,47,17
479,21障152,70,70,46,14
480,21障163,63,63,45,14
481,21障175,88,88,60,22
482,21障176,45,45,28,10
483,21障181,79,79,50,14
484,21障183,78,78,49,22
485,21障186,54,54,34,15
486,21障209,73,73,48,16
487,21障210,65,65,42,18
488,21障212,57,57,43,22
489,21障225,66,66,50,17
490,21障227,76,76,52,19
491,21障230,133,133,87,34
492,21障232,41,41,25,11
493,21障234,122,122,75,24
494,21障235,51,51,33,8
495,21障250,82,82,53,21
496,21障251,56,56,38,16
497,21障253,40,40,23,9
498,21障258,64,64,39,16
499,21障259,41,41,27,10
500,21障264,41,41,27,8
501,21障269,103,103,58,21
502,21障270,64,64,41,14
503,21障271,56,56,34,10
504,21障272,88,88,51,18
505,21障273,70,70,49,15
506,21障274,54,54,36,10
507,21障283,107,107,69,25
508,21障287,34,34,20,7
509,21障292,101,101,70,28
510,21障294,86,86,56,23
511,21障299,43,43,29,9
512,21障301,94,94,61,21
513,21障304,61,61,38,16
514,21障308,58,58,37,16
515,21障309,56,56,38,13
516,21障312,55,55,36,14
517,21障314,92,92,56,20
518,21障315,37,37,20,9
519,21障317,78,78,45,18
520,21障328,58,58,42,16
521,21障330,39,39,26,9
522,21障332,63,63,42,14
523,21障333,71,71,44,24
524,21障334,68,68,46,21
525,21障336,74,74,43,17
526,21障337,29,29,18,7
527,21障346,58,58,38,15
528,21障347,65,65,39,16
529,21障348,81,81,57,19
530,21障349,29,29,18,6
531,21障350,29,29,19,8
