データセット,列順,列名,pandas型,解析上の種類,全件数,非欠損数,欠損数,欠損率（％）,一意値数,値例,推奨解析用途
歯牙障害,1,和暦,str,カテゴリ,1583,1583,0,0.0,2,平成 | 令和,件数・割合・クロス集計・群間比較
歯牙障害,2,給付年度,int64,順序・数値候補,1583,1583,0,0.0,19,17 | 18 | 19 | 20 | 21,年度推移または学年比較（型変換の要確認）
歯牙障害,3,記号,str,ID候補,1583,1583,0,0.0,1583,17障6 | 17障13 | 17障26 | 17障33 | 17障48,重複・追跡・データ結合
歯牙障害,4,種別,str,カテゴリ,1583,1583,0,0.0,1,歯牙障害,件数・割合・クロス集計・群間比較
歯牙障害,5,被災学校種,str,カテゴリ,1583,1583,0,0.0,8,小 | 特小 | 中 | 特中 | 高,件数・割合・クロス集計・群間比較
歯牙障害,6,被災学年,int64,順序・数値候補,1583,1583,0,0.0,6,6 | 5 | 2 | 4 | 3,年度推移または学年比較（型変換の要確認）
歯牙障害,7,性別,str,カテゴリ,1583,1583,0,0.0,2,女 | 男,件数・割合・クロス集計・群間比較
歯牙障害,8,場合別1,str,カテゴリ,1583,1583,0,0.0,8,各教科等 | 特別活動（除学校行事） | 学校行事 | 休憩時間 | 寄宿舎にあるとき,件数・割合・クロス集計・群間比較
歯牙障害,9,場合別2,str,カテゴリ,1583,1575,8,0.5054,35,理科 | 体育（保健体育） | 日常の清掃 | 勤労生産・奉仕的行事 | 休憩時間中,件数・割合・クロス集計・群間比較
歯牙障害,10,競技種目,str,カテゴリ,1583,885,698,44.0935,38,マット運動 | ソフトボール | 準備・整理運動 | その他 | 陸上競技（その他）,件数・割合・クロス集計・群間比較
歯牙障害,11,通学方法,str,カテゴリ,1583,262,1321,83.4491,3,徒歩 | 自転車 | 鉄道,件数・割合・クロス集計・群間比較
歯牙障害,12,発生場所1,str,カテゴリ,1583,1583,0,0.0,3,学校内・校舎外（園内・園舎外） | 学校内・校舎内（園内・園舎内） | 学校外（園外）,件数・割合・クロス集計・群間比較
歯牙障害,13,発生場所2,str,カテゴリ,1583,1583,0,0.0,18,運動場・校庭（園庭） | 体育館・屋内運動場 | 教室（保育室） | プール | その他,件数・割合・クロス集計・群間比較
歯牙障害,14,遊具等,str,カテゴリ,1583,38,1545,97.5995,9,すべり台 | 雲てい | 鉄棒 | ジャングルジム | ぶらんこ,件数・割合・クロス集計・群間比較
歯牙障害,15,災害発生時の状況,str,テキスト,1583,1583,0,0.0,1583,理科の授業中、虫探しに向かおうと走って、地面のくぼみに足を取られ転倒した際、ちょうどその場にヒューム管（下水道管）があり口に当たって負傷した。 | 体育の授業中、とび前転(マット運動）の練習をしていた。助走をつけ前転をし終わった際に、右膝に口をぶつけ前歯を負傷した。 | 昼清掃のため清掃場所へ向かう際、校舎裏の側溝の蓋の上を走っていて転倒し、顎から鼻にかけて強打した。 | 清掃時間中、床の雑巾がけをしていた際、他の児童と接触し、前につんのめり、床で前歯を強打した。 | プール清掃中、デッキブラシで作業を行っていた際、ブラシを持ったまま滑ってしまい前に倒れて前歯部分を強打した。,文長・N-gram・既存テキスト成果との比較
歯牙障害,16,Step7_入力元ファイル,str,技術補助列,1583,1583,0,0.0,1,Step2-1_傷害カテゴリ別解析_歯牙障害抽出.csv,入力追跡または比較群の定義
歯牙障害,17,Step7_入力元カテゴリ,str,技術補助列,1583,1583,0,0.0,1,歯牙障害,入力追跡または比較群の定義
歯牙障害,18,Step7_歯牙障害フラグ,int64,技術補助列,1583,1583,0,0.0,1,1,入力追跡または比較群の定義
