列名,値,件数,割合（％）,列内順位
和暦,平成,1313,82.9438,1
和暦,令和,270,17.0562,2
給付年度,19,127,8.0227,1
給付年度,18,115,7.2647,2
給付年度,20,107,6.7593,3
給付年度,17,106,6.6961,4
給付年度,22,105,6.633,5
給付年度,21,102,6.4435,6
給付年度,23,93,5.8749,7
給付年度,27,93,5.8749,8
給付年度,26,89,5.6222,9
給付年度,24,80,5.0537,10
給付年度,28,80,5.0537,11
給付年度,29,76,4.801,12
給付年度,25,72,4.5483,13
給付年度,2,72,4.5483,14
給付年度,30,68,4.2956,15
給付年度,1,63,3.9798,16
給付年度,4,50,3.1586,17
給付年度,3,43,2.7164,18
給付年度,5,42,2.6532,19
種別,歯牙障害,1583,100.0,1
被災学校種,高,886,55.9697,1
被災学校種,中,386,24.3841,2
被災学校種,小,245,15.4769,3
被災学校種,特高,31,1.9583,4
被災学校種,特中,13,0.8212,5
被災学校種,特小,10,0.6317,6
被災学校種,高専,10,0.6317,7
被災学校種,幼,2,0.1263,8
被災学年,2,548,34.6178,1
被災学年,1,466,29.4378,2
被災学年,3,403,25.458,3
被災学年,5,58,3.6639,4
被災学年,6,54,3.4112,5
被災学年,4,54,3.4112,6
性別,男,1191,75.2369,1
性別,女,392,24.7631,2
場合別1,課外指導,687,43.3986,1
場合別1,通学中,262,16.5509,2
場合別1,休憩時間,250,15.7928,3
場合別1,各教科等,233,14.7189,4
場合別1,学校行事,79,4.9905,5
場合別1,特別活動（除学校行事）,64,4.043,6
場合別1,寄宿舎にあるとき,6,0.379,7
場合別1,保育中,2,0.1263,8
場合別2,体育的部活動,674,42.5774,1
場合別2,体育（保健体育）,192,12.1289,2
場合別2,下校（降園）中,135,8.5281,3
場合別2,登校（登園）中,117,7.391,4
場合別2,休憩時間中,94,5.9381,5
場合別2,昼食時休憩時間中,76,4.801,6
場合別2,授業終了後の特定時間中,56,3.5376,7
場合別2,日常の清掃,26,1.6425,8
場合別2,始業前の特定時間中,24,1.5161,9
場合別2,その他の教科,20,1.2634,10
場合別2,運動会・体育祭,20,1.2634,11
場合別2,競技大会・球技大会,14,0.8844,12
場合別2,その他集団宿泊的行事,12,0.7581,13
場合別2,遠足,11,0.6949,14
