給付年度,件数,割合（％）,前年度差,前年度比（％）
1,63,3.9798,,
2,72,4.5483,9.0,14.2857
3,43,2.7164,-29.0,-40.2778
4,50,3.1586,7.0,16.2791
5,42,2.6532,-8.0,-16.0
17,106,6.6961,64.0,152.381
18,115,7.2647,9.0,8.4906
19,127,8.0227,12.0,10.4348
20,107,6.7593,-20.0,-15.748
21,102,6.4435,-5.0,-4.6729
22,105,6.633,3.0,2.9412
23,93,5.8749,-12.0,-11.4286
24,80,5.0537,-13.0,-13.9785
25,72,4.5483,-8.0,-10.0
26,89,5.6222,17.0,23.6111
27,93,5.8749,4.0,4.4944
28,80,5.0537,-13.0,-13.9785
29,76,4.801,-4.0,-5.0
30,68,4.2956,-8.0,-10.5263
