品詞,品詞細分類,形態素数,全形態素割合（％）,出現事例数,事例出現率（％）
名詞,一般,14142,20.1095,1583,100.0
助詞,格助詞,11722,16.6683,1583,100.0
動詞,自立,9414,13.3864,1583,100.0
名詞,サ変接続,5271,7.4952,1520,96.0202
助動詞,*,5237,7.4469,1573,99.3683
記号,読点,4873,6.9293,1567,98.9893
助詞,連体化,3283,4.6683,1322,83.5123
助詞,接続助詞,3044,4.3285,1305,82.4384
名詞,接尾,2724,3.8734,1294,81.7435
記号,句点,2455,3.4909,1582,99.9368
名詞,非自立,2036,2.8951,1244,78.585
動詞,非自立,1894,2.6932,1144,72.2678
接頭詞,名詞接続,739,1.0508,571,36.0708
名詞,数,584,0.8304,378,23.8787
名詞,副詞可能,522,0.7423,428,27.0373
連体詞,*,336,0.4778,302,19.0777
動詞,接尾,291,0.4138,249,15.7296
助詞,並立助詞,279,0.3967,248,15.6665
形容詞,自立,254,0.3612,226,14.2767
助詞,係助詞,231,0.3285,193,12.192
副詞,一般,149,0.2119,114,7.2015
記号,括弧閉,119,0.1692,114,7.2015
記号,括弧開,118,0.1678,112,7.0752
名詞,形容動詞語幹,84,0.1194,78,4.9274
助詞,副詞化,64,0.091,57,3.6008
接頭詞,数接続,64,0.091,55,3.4744
接続詞,*,62,0.0882,60,3.7903
副詞,助詞類接続,60,0.0853,55,3.4744
助詞,副助詞,58,0.0825,55,3.4744
助詞,終助詞,47,0.0668,26,1.6425
名詞,固有名詞,44,0.0626,38,2.4005
記号,一般,38,0.054,33,2.0846
名詞,代名詞,29,0.0412,28,1.7688
名詞,接続詞的,13,0.0185,13,0.8212
助詞,副助詞／並立助詞／終助詞,11,0.0156,11,0.6949
記号,アルファベット,10,0.0142,6,0.379
形容詞,非自立,6,0.0085,6,0.379
記号,空白,6,0.0085,6,0.379
その他,間投,3,0.0043,3,0.1895
感動詞,*,3,0.0043,3,0.1895
接頭詞,動詞接続,3,0.0043,3,0.1895
形容詞,接尾,2,0.0028,2,0.1263
フィラー,*,1,0.0014,1,0.0632
