N,N-gram,総出現回数,出現事例数,事例出現率（％）,N別順位
2,補綴 加える,196,195,12.3184,1
2,歯科 補綴,195,195,12.3184,2
2,野球 部,174,174,10.9918,3
2,破る 折,169,168,10.6128,4
2,前歯 本,163,155,9.7915,5
2,部 練習,145,145,9.1598,6
2,運動 場,124,122,7.7069,7
2,バランス 崩す,114,114,7.2015,8
2,当たる 前歯,104,103,6.5066,9
2,口 当たる,102,102,6.4435,10
2,前歯 破る,102,102,6.4435,11
2,歯 歯科,102,102,6.4435,12
2,練習 試合,97,97,6.1276,13
2,転倒 顔面,92,92,5.8117,14
2,顔面 強打,87,87,5.4959,15
2,前歯 負傷,70,70,4.422,16
2,自転車 登校,70,70,4.422,17
2,本 折れる,62,62,3.9166,18
2,自転車 下校,62,62,3.9166,19
2,強打 前歯,58,58,3.6639,20
2,顔面 当たる,58,58,3.6639,21
2,休憩 時間,55,55,3.4744,22
2,歯 負傷,54,54,3.4112,23
2,前歯 当たる,53,53,3.3481,24
2,転倒 前歯,52,52,3.2849,25
2,当たる 歯,52,52,3.2849,26
2,飛ぶ くる,49,49,3.0954,27
2,相手 チーム,43,41,2.59,28
2,崩す 転倒,42,42,2.6532,29
2,前歯 折れる,42,42,2.6532,30
2,足 滑る,41,41,2.59,31
2,バスケットボール 部,40,39,2.4637,32
2,相手 選手,38,34,2.1478,33
2,ボール 取る,38,35,2.211,34
2,歯 折れる,36,36,2.2742,35
2,前歯 脱臼,36,36,2.2742,36
2,口 部,36,35,2.211,37
2,負傷 歯,36,36,2.2742,38
2,前歯 強打,34,34,2.1478,39
2,顔面 床,34,34,2.1478,40
2,折 歯科,34,34,2.1478,41
2,部 試合,33,33,2.0846,42
2,ぶつける 前歯,32,32,2.0215,43
2,サッカー 部,32,32,2.0215,44
2,歯 当たる,32,32,2.0215,45
2,強い 当たる,32,32,2.0215,46
2,練習 ボール,32,32,2.0215,47
2,滑る 転倒,31,31,1.9583,48
2,ボール 顔面,31,31,1.9583,49
2,歯 本,31,30,1.8951,50
2,本 抜ける,31,31,1.9583,51
2,強打 負傷,31,31,1.9583,52
2,欠損 歯科,31,31,1.9583,53
2,試合 相手,30,30,1.8951,54
2,ボール 口,30,30,1.8951,55
2,打つ 前歯,30,30,1.8951,56
2,滑る せる,29,29,1.832,57
2,部 運動,29,29,1.832,58
2,強打 歯,29,29,1.832,59
2,前歯 欠損,29,29,1.832,60
2,バッティング 練習,28,28,1.7688,61
2,口元 当たる,28,28,1.7688,62
2,床 顔面,27,27,1.7056,63
2,守備 練習,27,27,1.7056,64
2,ボール 打つ,26,26,1.6425,65
2,ノック 練習,26,26,1.6425,66
2,ぶつかる 前歯,26,26,1.6425,67
2,試合 ボール,26,26,1.6425,68
2,床 強打,26,26,1.6425,69
2,顔面 直撃,25,25,1.5793,70
2,ボール 捕る,25,25,1.5793,71
2,強い 打つ,25,25,1.5793,72
2,体育 体育館,25,25,1.5793,73
2,練習 ノック,24,24,1.5161,74
2,練習 相手,24,24,1.5161,75
2,前方 転倒,24,24,1.5161,76
2,転倒 床,24,24,1.5161,77
2,搬送 れる,24,24,1.5161,78
2,口 直撃,23,23,1.4529,79
2,打つ ボール,23,23,1.4529,80
2,治療 前歯,23,23,1.4529,81
2,振る バット,22,22,1.3898,82
2,ボール イレギュラー,22,22,1.3898,83
2,捕る 球,22,22,1.3898,84
2,転倒 地面,22,22,1.3898,85
2,口 負傷,21,21,1.3266,86
2,つまずく 転倒,21,20,1.2634,87
2,顔面 地面,21,21,1.3266,88
2,相手 頭,21,21,1.3266,89
2,ノック ボール,21,21,1.3266,90
2,転倒 顔,21,21,1.3266,91
2,体育 ソフトボール,20,20,1.2634,92
2,ソフトボール 試合,20,20,1.2634,93
2,くる ボール,20,20,1.2634,94
2,接触 転倒,20,20,1.2634,95
2,前のめり 転倒,20,20,1.2634,96
2,口唇 部,20,20,1.2634,97
2,救急 搬送,20,20,1.2634,98
2,ぶつける 歯,19,19,1.2003,99
2,転倒 歯,19,19,1.2003,100
2,形式 練習,19,19,1.2003,101
2,直撃 前歯,19,18,1.1371,102
2,口 強打,19,19,1.2003,103
2,体育 祭,19,19,1.2003,104
2,前方 倒れる,19,19,1.2003,105
2,顔面 ぶつける,19,19,1.2003,106
2,相手 肘,18,18,1.1371,107
2,自転車 ごと,18,18,1.1371,108
2,場 野球,18,18,1.1371,109
2,前歯 床,17,17,1.0739,110
2,強い ぶつける,17,17,1.0739,111
2,強い 打ちつける,17,17,1.0739,112
2,昼食 休憩,17,17,1.0739,113
2,顔面 転倒,17,17,1.0739,114
2,バット 口,17,17,1.0739,115
2,ボール 当たる,17,17,1.0739,116
2,口 強い,17,17,1.0739,117
2,うし ろ,17,17,1.0739,118
2,本 破る,17,17,1.0739,119
2,バット 手,17,17,1.0739,120
2,ボール 拾う,17,16,1.0107,121
2,ボール 追いかける,17,16,1.0107,122
2,特定 時間,17,17,1.0739,123
2,地面 顔面,17,17,1.0739,124
2,投げる ボール,17,17,1.0739,125
2,部 部,17,17,1.0739,126
2,体育 運動,17,17,1.0739,127
2,顔 強打,17,17,1.0739,128
2,床 ぶつける,16,16,1.0107,129
2,顔 当たる,16,16,1.0107,130
2,走る くる,16,16,1.0107,131
2,顔 床,16,16,1.0107,132
2,顔面 強い,16,16,1.0107,133
2,れる 治療,16,16,1.0107,134
2,歯 強い,15,15,0.9476,135
2,転倒 口,15,15,0.9476,136
2,バレーボール 部,15,15,0.9476,137
2,チーム 選手,15,15,0.9476,138
2,本 負傷,15,14,0.8844,139
2,口元 直撃,15,15,0.9476,140
2,自転車 前輪,15,15,0.9476,141
2,取る 行く,15,15,0.9476,142
2,本 歯,15,15,0.9476,143
2,前歯 折る,15,15,0.9476,144
2,折れる しまう,15,15,0.9476,145
2,自転車 乗る,15,14,0.8844,146
2,時間 教室,15,15,0.9476,147
2,手 つく,14,14,0.8844,148
2,バッター 打つ,14,14,0.8844,149
2,歯 折る,14,14,0.8844,150
2,顔面 負傷,14,14,0.8844,151
2,頭部 顔面,14,14,0.8844,152
2,試合 形式,14,14,0.8844,153
2,れる ボール,14,13,0.8212,154
2,イレギュラーバウンド ボール,14,14,0.8844,155
2,くる 口,14,14,0.8844,156
2,ボール 前歯,14,14,0.8844,157
2,顔面 歯,14,14,0.8844,158
2,ブレーキ かける,14,14,0.8844,159
2,しまう 前歯,14,14,0.8844,160
2,顔面 口,14,14,0.8844,161
2,部 体育館,14,14,0.8844,162
2,脱臼 破る,14,14,0.8844,163
2,折 欠損,14,14,0.8844,164
2,追う かけっこ,13,12,0.7581,165
2,前歯 強い,13,13,0.8212,166
2,地面 強打,13,13,0.8212,167
2,折 脱臼,13,13,0.8212,168
2,せる 転倒,13,13,0.8212,169
2,倒れる 顔面,13,13,0.8212,170
2,打ち付ける 前歯,13,13,0.8212,171
2,シート ノック,13,13,0.8212,172
2,押す れる,13,12,0.7581,173
2,終了 特定,13,13,0.8212,174
2,部 当たる,13,13,0.8212,175
2,手 滑る,13,13,0.8212,176
2,バント 練習,13,13,0.8212,177
2,打つ 歯,13,13,0.8212,178
2,負傷 前歯,13,13,0.8212,179
2,受診 治療,13,13,0.8212,180
2,れる 転倒,12,12,0.7581,181
2,倒れる 前歯,12,12,0.7581,182
2,崩す 顔面,12,12,0.7581,183
2,上顎 前歯,12,12,0.7581,184
2,バッター ボール,12,12,0.7581,185
2,バット 顔面,12,12,0.7581,186
2,肘 前歯,12,12,0.7581,187
2,接触 相手,12,12,0.7581,188
2,顔 地面,12,12,0.7581,189
2,相手 頭部,12,12,0.7581,190
2,体育 的,12,12,0.7581,191
2,的 部,12,12,0.7581,192
2,他校 練習,12,12,0.7581,193
2,イレギュラー ボール,12,12,0.7581,194
2,顎 強打,12,12,0.7581,195
2,唇 切れる,12,12,0.7581,196
2,打球 イレギュラーバウンド,12,12,0.7581,197
2,下校 下り坂,12,12,0.7581,198
2,衝突 前歯,12,12,0.7581,199
2,顔面 打つ,12,12,0.7581,200
2,歯 強打,12,12,0.7581,201
2,前歯 ぶつける,12,12,0.7581,202
2,床 顔,12,12,0.7581,203
2,打ちつける 前歯,12,12,0.7581,204
2,床 歯,12,12,0.7581,205
2,上下 前歯,12,12,0.7581,206
2,当たる しまう,12,12,0.7581,207
2,歯 破る,12,12,0.7581,208
2,前歯 抜ける,12,12,0.7581,209
2,場 ソフトボール,12,12,0.7581,210
2,床 前歯,11,11,0.6949,211
2,ぶつかる 転倒,11,11,0.6949,212
2,勢い つく,11,11,0.6949,213
2,試合 バッター,11,11,0.6949,214
2,時間 友人,11,11,0.6949,215
2,バスケットボール 試合,11,11,0.6949,216
2,肘 口,11,11,0.6949,217
2,友人 ふざける,11,11,0.6949,218
2,本 抜け落ちる,11,11,0.6949,219
2,顔面 前歯,11,11,0.6949,220
2,ホッケー 部,11,11,0.6949,221
2,抜ける しまう,11,11,0.6949,222
2,頭 口,11,11,0.6949,223
2,ぶつかる 歯,11,11,0.6949,224
2,しまう 顔面,11,11,0.6949,225
2,部 強打,11,11,0.6949,226
2,段 目,11,5,0.3159,227
2,手 離れる,11,11,0.6949,228
2,床 倒れる,11,11,0.6949,229
2,口 歯,11,11,0.6949,230
2,フライ 捕る,11,11,0.6949,231
2,直撃 負傷,11,11,0.6949,232
2,取る れる,10,10,0.6317,233
2,転倒 顎,10,10,0.6317,234
2,打つ 負傷,10,10,0.6317,235
2,歯 打つ,10,10,0.6317,236
2,顔 ぶつける,10,10,0.6317,237
2,歯 ぶつける,10,10,0.6317,238
2,前歯 破損,10,10,0.6317,239
2,相手 膝,10,10,0.6317,240
2,選手 肘,10,9,0.5685,241
2,当たる 唇,10,10,0.6317,242
2,しまう 歯,10,10,0.6317,243
2,ノック 打球,10,10,0.6317,244
2,選手 頭,10,10,0.6317,245
2,前歯 打つ,10,10,0.6317,246
2,とる れる,10,10,0.6317,247
2,ぶつける 負傷,10,10,0.6317,248
2,顔 打つ,10,10,0.6317,249
2,部 終了,10,10,0.6317,250
2,飛ばす れる,10,10,0.6317,251
2,ぶつける しまう,10,10,0.6317,252
2,顎 歯,10,9,0.5685,253
2,口腔 内,10,10,0.6317,254
2,壁 顔面,10,10,0.6317,255
2,場 サッカー,10,10,0.6317,256
2,坂道 下る,10,10,0.6317,257
2,タイヤ 滑る,10,10,0.6317,258
2,打球 口,10,10,0.6317,259
2,口 前歯,10,10,0.6317,260
2,正面 衝突,10,10,0.6317,261
2,歯 抜ける,10,10,0.6317,262
2,骨 骨折,10,10,0.6317,263
2,打撃 練習,10,10,0.6317,264
