項目数,項目集合,事例数,支持度,支持度（％）
1,和暦=平成,1313,0.8294377763739734,82.9438
1,性別=男,1191,0.7523689197725837,75.2369
1,被災学校種=高,886,0.5596967782691092,55.9697
1,場合別1=課外指導,687,0.4339861023373342,43.3986
1,場合別2=体育的部活動,674,0.4257738471257107,42.5774
1,発生場所1=学校内・校舎外（園内・園舎外）,602,0.3802905874921036,38.0291
1,発生場所2=運動場・校庭（園庭）,567,0.3581806696146557,35.8181
1,被災学年=2,548,0.3461781427668983,34.6178
1,発生場所1=学校外（園外）,497,0.3139608338597599,31.3961
1,発生場所1=学校内・校舎内（園内・園舎内）,484,0.3057485786481364,30.5749
1,被災学年=1,466,0.2943777637397347,29.4378
1,被災学年=3,403,0.2545799115603285,25.458
1,性別=女,392,0.2476310802274163,24.7631
1,被災学校種=中,386,0.24384080859128238,24.3841
1,競技種目=野球（含軟式）,352,0.22236260265319013,22.2363
1,発生場所2=道路,273,0.1724573594440935,17.2457
1,和暦=令和,270,0.17056222362602652,17.0562
1,場合別1=通学中,262,0.1655085281111813,16.5509
1,場合別1=休憩時間,250,0.15792798483891346,15.7928
1,被災学校種=小,245,0.15476942514213518,15.4769
1,発生場所2=体育館・屋内運動場,245,0.15476942514213518,15.4769
1,場合別1=各教科等,233,0.14718888186986734,14.7189
1,通学方法=自転車,218,0.13771320277953253,13.7713
1,場合別2=体育（保健体育）,192,0.12128869235628553,12.1289
1,場合別2=下校（降園）中,135,0.08528111181301326,8.5281
1,給付年度=19,127,0.08022741629816804,8.0227
1,発生場所2=学校外運動場・競技場,119,0.07517372078332281,7.5174
1,場合別2=登校（登園）中,117,0.0739102969046115,7.391
1,給付年度=18,115,0.07264687302590019,7.2647
1,競技種目=バスケットボール,112,0.07075173720783323,7.0752
1,給付年度=20,107,0.06759317751105495,6.7593
1,給付年度=17,106,0.06696146557169931,6.6961
1,給付年度=22,105,0.06632975363234365,6.633
1,給付年度=21,102,0.06443461781427669,6.4435
1,発生場所2=廊下,96,0.060644346178142766,6.0644
1,場合別2=休憩時間中,94,0.05938092229943146,5.9381
1,給付年度=23,93,0.058749210360075806,5.8749
1,給付年度=27,93,0.058749210360075806,5.8749
1,給付年度=26,89,0.05622236260265319,5.6222
1,発生場所2=教室（保育室）,81,0.051168667087807956,5.1169
1,給付年度=24,80,0.05053695514845231,5.0537
1,給付年度=28,80,0.05053695514845231,5.0537
1,場合別1=学校行事,79,0.04990524320909665,4.9905
1,競技種目=サッカー・フットサル,77,0.04864181933038535,4.8642
1,場合別2=昼食時休憩時間中,76,0.04801010739102969,4.801
1,給付年度=29,76,0.04801010739102969,4.801
1,競技種目=ソフトボール,75,0.047378395451674035,4.7378
1,給付年度=25,72,0.045483259633607075,4.5483
1,給付年度=2,72,0.045483259633607075,4.5483
1,給付年度=30,68,0.04295641187618446,4.2956
1,場合別1=特別活動（除学校行事）,64,0.04042956411876184,4.043
1,給付年度=1,63,0.03979785217940619,3.9798
1,発生場所2=その他,59,0.037271004421983576,3.7271
1,被災学年=5,58,0.03663929248262792,3.6639
1,場合別2=授業終了後の特定時間中,56,0.035375868603916616,3.5376
1,被災学年=6,54,0.034112444725205304,3.4112
1,被災学年=4,54,0.034112444725205304,3.4112
1,給付年度=4,50,0.03158559696778269,3.1586
1,通学方法=徒歩,43,0.027163613392293114,2.7164
1,競技種目=バレーボール,43,0.027163613392293114,2.7164
1,給付年度=3,43,0.027163613392293114,2.7164
1,給付年度=5,42,0.026531901452937462,2.6532
1,発生場所2=学校外体育館,40,0.025268477574226154,2.5268
1,被災学校種=特高,31,0.01958307012002527,1.9583
1,場合別2=日常の清掃,26,0.016424510423247,1.6425
1,競技種目=その他,26,0.016424510423247,1.6425
1,発生場所2=階段,25,0.015792798483891344,1.5793
1,場合別2=始業前の特定時間中,24,0.015161086544535692,1.5161
1,競技種目=ホッケー,20,0.012634238787113077,1.2634
1,場合別2=その他の教科,20,0.012634238787113077,1.2634
1,場合別2=運動会・体育祭,20,0.012634238787113077,1.2634
1,競技種目=テニス（含ソフトテニス）,18,0.011370814908401769,1.1371
1,発生場所2=山林野（含スキー場）,17,0.010739102969046115,1.0739
1,発生場所2=プール,16,0.01010739102969046,1.0107
2,和暦=平成 | 性別=男,984,0.6216045483259633,62.1605
2,和暦=平成 | 被災学校種=高,728,0.459886291850916,45.9886
2,性別=男 | 被災学校種=高,719,0.4542008843967151,45.4201
2,場合別1=課外指導 | 場合別2=体育的部活動,674,0.4257738471257107,42.5774
2,場合別1=課外指導 | 性別=男,585,0.36955148452305747,36.9551
2,場合別2=体育的部活動 | 性別=男,576,0.3638660770688566,36.3866
2,和暦=平成 | 場合別1=課外指導,571,0.36070751737207835,36.0708
2,発生場所1=学校内・校舎外（園内・園舎外） | 発生場所2=運動場・校庭（園庭）,566,0.35754895767530004,35.7549
2,和暦=平成 | 場合別2=体育的部活動,561,0.3543903979785218,35.439
2,場合別1=課外指導 | 被災学校種=高,541,0.3417561591914087,34.1756
2,場合別2=体育的部活動 | 被災学校種=高,535,0.3379658875552748,33.7966
2,性別=男 | 発生場所1=学校内・校舎外（園内・園舎外）,499,0.31522425773847124,31.5224
2,和暦=平成 | 発生場所1=学校内・校舎外（園内・園舎外）,496,0.3133291219204043,31.3329
2,性別=男 | 発生場所2=運動場・校庭（園庭）,474,0.2994314592545799,29.9431
2,和暦=平成 | 発生場所2=運動場・校庭（園庭）,468,0.295641187618446,29.5641
2,和暦=平成 | 被災学年=2,456,0.2880606443461781,28.8061
2,性別=男 | 被災学年=2,430,0.2716361339229311,27.1636
2,和暦=平成 | 発生場所1=学校外（園外）,414,0.2615287428932407,26.1529
2,和暦=平成 | 発生場所1=学校内・校舎内（園内・園舎内）,403,0.2545799115603285,25.458
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学校種=高,375,0.2368919772583702,23.6892
2,和暦=平成 | 被災学年=1,373,0.23562855337965888,23.5629
2,場合別1=課外指導 | 発生場所1=学校内・校舎外（園内・園舎外）,367,0.23183828174352494,23.1838
2,性別=男 | 被災学年=1,366,0.2312065698041693,23.1207
2,場合別2=体育的部活動 | 発生場所1=学校内・校舎外（園内・園舎外）,364,0.229943145925458,22.9943
2,発生場所2=運動場・校庭（園庭） | 被災学校種=高,361,0.22804801010739104,22.8048
2,性別=男 | 発生場所1=学校外（園外）,360,0.22741629816803538,22.7416
2,場合別1=課外指導 | 発生場所2=運動場・校庭（園庭）,354,0.22362602653190145,22.3626
2,場合別2=体育的部活動 | 発生場所2=運動場・校庭（園庭）,354,0.22362602653190145,22.3626
2,被災学年=2 | 被災学校種=高,349,0.2204674668351232,22.0467
2,場合別1=課外指導 | 競技種目=野球（含軟式）,348,0.21983575489576754,21.9836
2,場合別2=体育的部活動 | 競技種目=野球（含軟式）,348,0.21983575489576754,21.9836
2,性別=男 | 競技種目=野球（含軟式）,347,0.21920404295641188,21.9204
2,和暦=平成 | 被災学年=3,337,0.21288692356285535,21.2887
2,性別=男 | 発生場所1=学校内・校舎内（園内・園舎内）,332,0.20972836386607707,20.9728
2,発生場所1=学校外（園外） | 被災学校種=高,332,0.20972836386607707,20.9728
2,和暦=平成 | 性別=女,329,0.2078332280480101,20.7833
2,被災学年=1 | 被災学校種=高,320,0.20214782059380923,20.2148
2,和暦=平成 | 被災学校種=中,314,0.1983575489576753,19.8358
2,競技種目=野球（含軟式） | 被災学校種=高,305,0.19267214150347442,19.2672
2,場合別1=課外指導 | 被災学年=2,304,0.19204042956411876,19.204
2,場合別2=体育的部活動 | 被災学年=2,297,0.18761844598862917,18.7618
2,性別=男 | 被災学年=3,293,0.18509159823120658,18.5092
2,和暦=平成 | 競技種目=野球（含軟式）,289,0.18256475047378395,18.2565
2,性別=男 | 被災学校種=中,278,0.17561591914087177,17.5616
2,発生場所1=学校外（園外） | 発生場所2=道路,273,0.1724573594440935,17.2457
2,発生場所1=学校内・校舎外（園内・園舎外） | 競技種目=野球（含軟式）,263,0.16614024005053696,16.614
2,場合別1=通学中 | 発生場所1=学校外（園外）,262,0.1655085281111813,16.5509
2,発生場所2=運動場・校庭（園庭） | 競技種目=野球（含軟式）,262,0.1655085281111813,16.5509
2,場合別1=通学中 | 発生場所2=道路,254,0.16045483259633608,16.0455
2,場合別1=課外指導 | 被災学年=1,246,0.15540113708149084,15.5401
2,発生場所1=学校内・校舎内（園内・園舎内） | 発生場所2=体育館・屋内運動場,245,0.15476942514213518,15.4769
2,場合別2=体育的部活動 | 被災学年=1,243,0.15350600126342387,15.3506
2,和暦=平成 | 発生場所2=道路,223,0.1408717624763108,14.0872
2,場合別1=通学中 | 通学方法=自転車,218,0.13771320277953253,13.7713
2,発生場所1=学校外（園外） | 通学方法=自転車,218,0.13771320277953253,13.7713
2,発生場所2=道路 | 通学方法=自転車,217,0.13708149084017687,13.7081
2,和暦=平成 | 被災学校種=小,216,0.13644977890082122,13.645
2,被災学年=3 | 被災学校種=高,215,0.13581806696146556,13.5818
2,和暦=平成 | 場合別1=通学中,213,0.13455464308275428,13.4555
2,和暦=平成 | 場合別1=休憩時間,208,0.131396083385976,13.1396
2,和暦=令和 | 性別=男,207,0.13076437144662034,13.0764
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学年=2,205,0.12950094756790903,12.9501
2,和暦=平成 | 発生場所2=体育館・屋内運動場,201,0.1269740998104864,12.6974
2,発生場所2=運動場・校庭（園庭） | 被災学年=2,193,0.12192040429564119,12.192
2,場合別1=各教科等 | 場合別2=体育（保健体育）,192,0.12128869235628553,12.1289
2,和暦=平成 | 場合別1=各教科等,190,0.12002526847757422,12.0025
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学年=1,188,0.11876184459886292,11.8762
2,発生場所2=運動場・校庭（園庭） | 被災学年=1,184,0.1162349968414403,11.6235
2,発生場所1=学校外（園外） | 被災学年=2,181,0.11433986102337335,11.434
2,場合別1=課外指導 | 発生場所1=学校外（園外）,179,0.11307643714466203,11.3076
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学校種=高,179,0.11307643714466203,11.3076
2,発生場所1=学校外（園外） | 被災学年=1,175,0.11054958938723942,11.055
2,場合別1=休憩時間 | 性別=男,174,0.10991787744788377,10.9918
2,場合別2=体育的部活動 | 発生場所1=学校外（園外）,174,0.10991787744788377,10.9918
2,和暦=平成 | 通学方法=自転車,173,0.10928616550852811,10.9286
2,性別=男 | 発生場所2=道路,173,0.10928616550852811,10.9286
2,性別=男 | 発生場所2=体育館・屋内運動場,172,0.10865445356917246,10.8654
2,発生場所2=道路 | 被災学校種=高,169,0.10675931775110549,10.6759
2,性別=女 | 被災学校種=高,167,0.10549589387239419,10.5496
2,場合別1=通学中 | 被災学校種=高,166,0.10486418193303854,10.4864
2,場合別1=通学中 | 性別=男,165,0.10423246999368288,10.4232
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学校種=中,163,0.10296904611497157,10.2969
2,場合別1=各教科等 | 性別=男,162,0.10233733417561591,10.2337
