前件,後件,項目数,共起事例数,支持度,信頼度,lift
通学方法=徒歩,場合別2=下校（降園）中 | 被災学校種=小,3,20,0.012634238787113077,0.46511627906976744,35.0609080841639
場合別2=下校（降園）中 | 被災学校種=小,通学方法=徒歩,3,20,0.012634238787113077,0.9523809523809523,35.0609080841639
発生場所2=学校外体育館,発生場所1=学校外（園外） | 競技種目=バスケットボール,3,21,0.013265950726468731,0.525,34.628125000000004
発生場所1=学校外（園外） | 競技種目=バスケットボール,発生場所2=学校外体育館,3,21,0.013265950726468731,0.875,34.628125
通学方法=徒歩,場合別1=通学中 | 被災学校種=小,3,26,0.016424510423247,0.6046511627906976,33.0056134723336
場合別1=通学中 | 被災学校種=小,通学方法=徒歩,3,26,0.016424510423247,0.896551724137931,33.0056134723336
通学方法=徒歩,発生場所2=道路 | 被災学校種=小,3,24,0.015161086544535692,0.5581395348837209,28.50112528132033
発生場所2=道路 | 被災学校種=小,通学方法=徒歩,3,24,0.015161086544535692,0.7741935483870968,28.50112528132033
場合別2=日常の清掃,場合別1=特別活動（除学校行事） | 発生場所1=学校内・校舎内（園内・園舎内）,3,22,0.013897662665824383,0.8461538461538461,27.335949764521192
場合別1=特別活動（除学校行事） | 発生場所1=学校内・校舎内（園内・園舎内）,場合別2=日常の清掃,3,22,0.013897662665824383,0.4489795918367347,27.335949764521192
場合別2=日常の清掃,和暦=平成 | 場合別1=特別活動（除学校行事）,3,23,0.014529374605180037,0.8846153846153846,25.46083916083916
和暦=平成 | 場合別1=特別活動（除学校行事）,場合別2=日常の清掃,3,23,0.014529374605180037,0.41818181818181815,25.460839160839157
場合別1=特別活動（除学校行事）,場合別2=日常の清掃,2,26,0.016424510423247,0.40625,24.734375
場合別2=日常の清掃,場合別1=特別活動（除学校行事）,2,26,0.016424510423247,1.0,24.734375
場合別1=特別活動（除学校行事）,和暦=平成 | 場合別2=日常の清掃,3,23,0.014529374605180037,0.359375,24.734375
和暦=平成 | 場合別2=日常の清掃,場合別1=特別活動（除学校行事）,3,23,0.014529374605180037,1.0,24.734375
場合別1=特別活動（除学校行事）,場合別2=日常の清掃 | 発生場所1=学校内・校舎内（園内・園舎内）,3,22,0.013897662665824383,0.34375,24.734375
場合別2=日常の清掃 | 発生場所1=学校内・校舎内（園内・園舎内）,場合別1=特別活動（除学校行事）,3,22,0.013897662665824383,1.0,24.734375
和暦=平成 | 場合別1=学校行事,場合別2=運動会・体育祭,3,19,0.012002526847757423,0.2753623188405797,21.794927536231885
場合別2=運動会・体育祭,和暦=平成 | 場合別1=学校行事,3,19,0.012002526847757423,0.95,21.79492753623188
場合別1=学校行事,場合別2=運動会・体育祭,2,20,0.012634238787113077,0.25316455696202533,20.037974683544306
場合別2=運動会・体育祭,場合別1=学校行事,2,20,0.012634238787113077,1.0,20.037974683544302
場合別1=学校行事,和暦=平成 | 場合別2=運動会・体育祭,3,19,0.012002526847757423,0.24050632911392406,20.037974683544302
和暦=平成 | 場合別2=運動会・体育祭,場合別1=学校行事,3,19,0.012002526847757423,1.0,20.037974683544302
発生場所1=学校外（園外） | 被災学校種=小,通学方法=徒歩,3,26,0.016424510423247,0.5306122448979592,19.533934504034175
