クラスタ,順位,代表特徴,中心値
0,1,通学方法_（欠損）,1.0
0,2,遊具等_（欠損）,0.9932169914245605
0,3,場合別1_課外指導,0.9886950850486755
0,4,場合別2_体育的部活動,0.9868451356887817
0,5,性別_男,0.8663927316665649
0,6,被災学校種_高,0.7919838428497314
0,7,発生場所1_学校内・校舎外（園内・園舎外）,0.5401850938796997
0,8,発生場所2_運動場・校庭（園庭）,0.5253854393959045
0,9,競技種目_野球（含軟式）,0.5095582008361816
0,10,被災学年_2,0.440082311630249
0,11,被災学年_1,0.35724568367004395
0,12,発生場所1_学校外（園外）,0.2544707655906677
0,13,発生場所1_学校内・校舎内（園内・園舎内）,0.2053443342447281
0,14,被災学年_3,0.19013363122940063
0,15,被災学校種_中,0.1862282156944275
1,1,通学方法_（欠損）,0.9999998807907104
1,2,競技種目_（欠損）,0.975084125995636
1,3,遊具等_（欠損）,0.9212120771408081
1,4,性別_男,0.674074113368988
1,5,発生場所1_学校内・校舎内（園内・園舎内）,0.6168350577354431
1,6,場合別1_休憩時間,0.5784512758255005
1,7,被災学校種_小,0.4057239294052124
1,8,被災学校種_中,0.32592591643333435
1,9,性別_女,0.32592591643333435
1,10,被災学年_3,0.2909090518951416
1,11,被災学年_2,0.2774410843849182
1,12,発生場所1_学校内・校舎外（園内・園舎外）,0.2639731168746948
1,13,発生場所2_運動場・校庭（園庭）,0.23771044611930847
1,14,場合別2_休憩時間中,0.21919186413288116
1,15,発生場所2_廊下,0.21010100841522217
2,1,通学方法_（欠損）,1.0
2,2,遊具等_（欠損）,0.9874670505523682
2,3,場合別1_各教科等,0.9162270426750183
2,4,場合別2_体育（保健体育）,0.8845646977424622
2,5,性別_男,0.7163587808609009
2,6,発生場所1_学校内・校舎外（園内・園舎外）,0.5580474138259888
2,7,被災学校種_高,0.523087203502655
2,8,発生場所2_運動場・校庭（園庭）,0.5191293954849243
2,9,発生場所1_学校内・校舎内（園内・園舎内）,0.40501320362091064
2,10,発生場所2_体育館・屋内運動場,0.40039578080177307
2,11,被災学年_3,0.3825857639312744
2,12,競技種目_ソフトボール,0.30606862902641296
2,13,性別_女,0.28364118933677673
2,14,被災学校種_中,0.2770448923110962
2,15,被災学年_2,0.25923484563827515
3,1,発生場所1_学校外（園外）,0.9999997019767761
3,2,競技種目_（欠損）,0.9989542961120605
3,3,遊具等_（欠損）,0.9989542961120605
3,4,場合別1_通学中,0.9958181381225586
3,5,発生場所2_道路,0.9696810841560364
3,6,通学方法_自転車,0.8442236185073853
3,7,被災学校種_高,0.6346052289009094
3,8,性別_男,0.6288551688194275
3,9,場合別2_下校（降園）中,0.5337165594100952
3,10,場合別2_登校（登園）中,0.4286460876464844
3,11,被災学年_1,0.3972817361354828
3,12,性別_女,0.3711448013782501
3,13,被災学年_2,0.31887087225914
3,14,被災学年_3,0.22634601593017578
3,15,被災学校種_中,0.21066388487815857
