主成分,順位,特徴,負荷量,絶対負荷量
PC1,1,競技種目_（欠損）,0.3777109682559967,0.3777109682559967
PC1,2,場合別2_体育的部活動,-0.37079373002052307,0.37079373002052307
PC1,3,場合別1_課外指導,-0.3690287172794342,0.3690287172794342
PC1,4,発生場所1_学校内・校舎外（園内・園舎外）,-0.27862849831581116,0.27862849831581116
PC1,5,発生場所2_運動場・校庭（園庭）,-0.27666154503822327,0.27666154503822327
PC1,6,競技種目_野球（含軟式）,-0.24791133403778076,0.24791133403778076
PC1,7,場合別1_通学中,0.2300102561712265,0.2300102561712265
PC1,8,通学方法_（欠損）,-0.2300102412700653,0.2300102412700653
PC1,9,発生場所2_道路,0.22850775718688965,0.22850775718688965
PC1,10,発生場所1_学校外（園外）,0.19546879827976227,0.19546879827976227
PC1,11,通学方法_自転車,0.19157551229000092,0.19157551229000092
PC1,12,被災学校種_高,-0.1694098711013794,0.1694098711013794
PC1,13,性別_男,-0.13265804946422577,0.13265804946422577
PC1,14,性別_女,0.13265803456306458,0.13265803456306458
PC1,15,場合別2_下校（降園）中,0.11851342767477036,0.11851342767477036
PC1,16,場合別2_登校（登園）中,0.10334867984056473,0.10334867984056473
PC1,17,被災学校種_小,0.09409213811159134,0.09409213811159134
PC1,18,場合別1_休憩時間,0.08440778404474258,0.08440778404474258
PC1,19,発生場所1_学校内・校舎内（園内・園舎内）,0.08315971493721008,0.08315971493721008
PC1,20,被災学年_2,-0.06172060966491699,0.06172060966491699
PC2,1,発生場所1_学校外（園外）,0.38159582018852234,0.38159582018852234
PC2,2,発生場所1_学校内・校舎内（園内・園舎内）,-0.338635116815567,0.338635116815567
PC2,3,被災学校種_高,0.32424798607826233,0.32424798607826233
PC2,4,発生場所2_道路,0.27025413513183594,0.27025413513183594
PC2,5,通学方法_（欠損）,-0.2688460946083069,0.2688460946083069
PC2,6,場合別1_通学中,0.2688460946083069,0.2688460946083069
PC2,7,通学方法_自転車,0.24140845239162445,0.24140845239162445
PC2,8,場合別1_休憩時間,-0.2181064635515213,0.2181064635515213
PC2,9,場合別2_体育的部活動,0.17749254405498505,0.17749254405498505
PC2,10,場合別1_課外指導,0.1763400286436081,0.1763400286436081
PC2,11,被災学校種_小,-0.1641407012939453,0.1641407012939453
PC2,12,場合別1_各教科等,-0.15359264612197876,0.15359264612197876
PC2,13,競技種目_野球（含軟式）,0.14160966873168945,0.14160966873168945
PC2,14,場合別2_下校（降園）中,0.13704711198806763,0.13704711198806763
PC2,15,被災学校種_中,-0.13562704622745514,0.13562704622745514
PC2,16,被災学年_1,0.1344710737466812,0.1344710737466812
