語1,語2,共起事例数,Jaccard（ネットワーク重み）
練習,部,908,0.35832675611681136
当たる,眼,731,0.35956714215445157
ボール,眼,610,0.29355149181905676
眼,部,600,0.22197558268590456
眼,練習,590,0.23761578735400726
ボール,当たる,575,0.2959341224909933
ボール,練習,561,0.24757281553398058
場,運動,555,0.6583629893238434
ボール,部,539,0.21405877680698968
当たる,部,508,0.19352380952380951
当たる,練習,503,0.20958333333333334
部,野球,454,0.24161788185204897
残る,部,452,0.20752984389348025
負傷,部,386,0.14248800295311922
バランス,崩す,368,0.8421052631578947
場,部,359,0.1627379873073436
れる,部,356,0.13495072024260804
搬送,救急,349,0.8116279069767441
れる,救急,334,0.2751235584843493
れる,搬送,333,0.2742998352553542
練習,野球,329,0.185456595264938
練習,試合,329,0.16408977556109725
試合,部,327,0.14617791685292802
眼,負傷,327,0.13630679449770738
休憩,時間,319,0.4242021276595745
練習,負傷,317,0.12441130298273155
運動,部,314,0.14331355545413055
ボール,試合,313,0.19132029339853301
相手,試合,300,0.2669039145907473
眼,野球,297,0.17816436712657469
相手,部,289,0.12884529647793133
残る,運動,278,0.23459915611814347
場,残る,278,0.22329317269076304
れる,残る,276,0.16467780429594273
サッカー,ボール,266,0.19616519174041297
打つ,練習,261,0.13201820940819423
相手,練習,257,0.12567237163814182
ボール,野球,256,0.17510259917920656
ボール,相手,256,0.15412402167369055
眼,試合,254,0.13086038124678
れる,負傷,253,0.11691312384473197
ボール,負傷,252,0.11310592459605028
打つ,眼,250,0.1352082206598161
場,練習,249,0.11936720997123682
打つ,部,248,0.11171171171171171
相手,眼,244,0.12714955706096925
残る,負傷,241,0.13300220750551878
直撃,眼,239,0.14780457637600494
ボール,蹴る,236,0.17416974169741697
場,眼,234,0.11926605504587157
残る,治療,233,0.2588888888888889
当たる,試合,233,0.13002232142857142
れる,練習,230,0.09076558800315707
練習,運動,229,0.11192570869990225
当たる,野球,226,0.1441326530612245
眼,運動,218,0.11366006256517205
残る,眼,218,0.10670582476749878
負傷,転倒,216,0.11374407582938388
救急,車,215,0.5180722891566265
転倒,部,215,0.08679854662898667
直撃,練習,214,0.120157215047726
当たる,相手,210,0.11777902411665732
ボール,直撃,202,0.1434659090909091
搬送,残る,201,0.20468431771894094
残る,練習,200,0.09090909090909091
サッカー,部,199,0.09764474975466143
救急,残る,198,0.20081135902636918
ボール,打つ,197,0.11896135265700483
ボール,場,197,0.11237877923559612
残る,瘢痕,195,0.22083805209513024
打球,眼,195,0.1267056530214425
れる,治療,189,0.1444954128440367
場,当たる,189,0.10288513881328253
直撃,部,189,0.09282907662082515
搬送,部,189,0.09282907662082515
眼,蹴る,188,0.11400848999393572
れる,場,187,0.11
搬送,車,184,0.4134831460674157
打球,練習,184,0.10894020130254589
治療,部,184,0.09241587142139629
救急,部,184,0.0901077375122429
残る,障害,183,0.19242902208201892
ボール,運動,183,0.10720562390158173
れる,車,182,0.14967105263157895
バッティング,練習,180,0.10863005431502716
投げる,眼,179,0.10948012232415902
足,転倒,178,0.1479634247714048
搬送,治療,177,0.32123411978221417
サッカー,蹴る,177,0.29797979797979796
当たる,打つ,176,0.10039931545921278
救急,治療,173,0.31115107913669066
くる,部,173,0.07824513794663049
外傷,性,172,0.6539923954372624
体育館,部,172,0.08090310442144873
体育,運動,171,0.14016393442622951
当たる,蹴る,171,0.1143048128342246
体育,練習,171,0.07927677329624479
搬送,病院,170,0.35714285714285715
れる,倒れる,170,0.11235955056179775
れる,時間,170,0.10083036773428232
相手,負傷,170,0.09523809523809523
部,顔面,170,0.07671480144404332
当たる,運動,169,0.09404563160823595
倒れる,部,169,0.0770985401459854
手術,残る,167,0.1735966735966736
強打,転倒,166,0.13856427378964942
時間,残る,166,0.12518853695324283
れる,運動,166,0.09993979530403371
走る,転倒,165,0.12890625
サッカー,眼,165,0.09688784497944804
場,負傷,165,0.09051014810751508
ボール,体育,163,0.09157303370786517
残る,状,162,0.1980440097799511
体育,体育館,162,0.15851272015655576
れる,眼,162,0.06577344701583435
くる,当たる,161,0.09560570071258907
れる,転倒,161,0.0868861305990286
手術,部,160,0.07956240676280457
打球,部,159,0.08179012345679013
部,障害,159,0.07882994546355974
痕,線,158,0.9634146341463414
状,痕,158,0.8494623655913979
状,線,158,0.8229166666666666
残る,線,158,0.1975
性,残る,158,0.17913832199546487
強打,部,157,0.07178783721993598
れる,ボール,157,0.07065706570657065
残る,痕,156,0.19597989949748743
サッカー,当たる,156,0.10116731517509728
体育館,練習,156,0.08158995815899582
当たる,残る,155,0.08006198347107438
練習,顔面,154,0.07692307692307693
相手,選手,153,0.20619946091644206
バランス,転倒,153,0.13758992805755396
体育,残る,153,0.11225238444607484
当たる,投げる,153,0.10261569416498995
負傷,顔面,153,0.09239130434782608
時間,負傷,153,0.08481152993348115
救急,病院,152,0.30707070707070705
友人,時間,152,0.13620071684587814
負傷,運動,152,0.08558558558558559
れる,病院,151,0.1194620253164557
部,骨折,151,0.07351509250243428
打球,野球,150,0.24429967426710097
崩す,転倒,150,0.13611615245009073
性,眼,150,0.09596928982725528
試合,負傷,150,0.08165487207403375
走る,部,150,0.06593406593406594
れる,手術,149,0.11086309523809523
倒れる,練習,149,0.0751765893037336
眼,視力,148,0.099932478055368
バッティング,眼,148,0.09548387096774194
体育,負傷,148,0.08074195308237861
体育,眼,148,0.07251347378735913
ガラス,割れる,146,0.49324324324324326
サッカー,試合,146,0.14852492370295015
くる,ボール,146,0.08995686999383858
くる,眼,146,0.07811663991439273
体育,当たる,146,0.07794981313400962
場,野球,145,0.1341350601295097
れる,体育,145,0.08357348703170028
病院,車,144,0.40793201133144474
瘢痕,部,144,0.0728744939271255
バッティング,部,143,0.07432432432432433
手術,搬送,142,0.24398625429553264
