単語,出現事例数
部,1836
練習,1606
眼,1467
当たる,1297
負傷,1259
ボール,1221
れる,1158
転倒,856
残る,794
場,729
試合,728
体育,722
時間,698
相手,696
運動,669
打つ,632
走る,589
友人,570
しまう,558
顔面,550
くる,548
足,525
倒れる,525
手,510
強打,508
野球,497
教室,485
遊ぶ,470
体育館,462
強い,446
ぶつかる,409
バランス,409
サッカー,401
崩す,396
救急,390
直撃,389
搬送,389
休憩,373
蹴る,370
骨折,369
人,365
投げる,347
障害,340
右手,339
治療,339
手術,335
地面,328
頭部,325
膝,309
室,299
ぶつける,297
廊下,290
瘢痕,284
頭,281
滑る,276
床,274
入る,273
切る,273
顔,268
打球,267
受診,261
行く,259
左手,258
病院,257
状態,253
指,253
ガラス,253
落下,252
持つ,252
性,246
落ちる,244
られる,243
頬,243
取る,243
額,243
つく,242
車,240
残存,240
出る,237
バッティング,231
部分,225
終了,224
機能,221
外,218
近く,211
負う,210
せる,207
意識,207
付近,206
かける,203
バスケットボール,202
選手,199
飛ぶ,198
肘,196
失う,191
外傷,189
割れる,189
体,188
準備,187
状,186
目,185
本,182
球,182
保育,181
歩く,179
ｍ,178
自転車,177
ふざける,175
衝突,173
下校,173
接触,171
鬼ごっこ,166
後ろ,164
痛み,164
角,164
線,164
視力,162
痕,158
乗る,157
かかる,157
窓,157
校庭,156
向かう,154
間,153
昼食,152
階段,151
内,151
転落,149
大会,148
児,148
顎,148
戻る,147
ネット,147
挟む,146
前額,145
押す,145
登校,144
側,143
横,143
出血,142
途中,141
チーム,141
移動,140
マット,140
誤る,139
打撲,139
着地,138
見る,137
右足,137
関節,137
痛める,135
ドア,135
座る,134
後方,132
遊び,131
口,131
首,130
背中,128
追いかける,128
つまずく,125
ゴール,124
前方,124
転ぶ,123
グラウンド,122
減退,121
腰,121
昼休み,119
左足,118
ほお,118
シュート,116
大腿,115
小指,115
さ,114
出す,114
友達,113
散る,111
瞳,111
先,110
階,110
切れる,110
捕る,108
勢い,108
ソフトボール,107
使う,107
立つ,107
眼球,107
柔道,106
疼痛,106
腕,105
バドミントン,105
打ちつける,104
体操,104
骨,104
園,104
逃げる,102
隣,102
おる,102
気付く,102
トイレ,101
シャトル,101
挫創,101
耳,100
振る,100
ろ,100
ゲーム,100
急,100
打ち付ける,100
AED,100
朝,99
壁,99
回,98
部員,98
コンクリート,98
入れる,98
力,98
拾う,98
教員,98
道路,97
左側,97
清掃,97
切断,97
訴える,96
置く,96
心肺,96
等,95
バット,95
使用,95
ない,95
股間,95
後頭部,94
うし,94
名,94
守備,94
左腕,94
指導,93
クラス,93
低下,93
特定,93
ピッチャー,92
参加,92
