列名,値,件数,割合（％）,列内順位
和暦,平成,4725,77.4717,1
和暦,令和,1374,22.5283,2
給付年度,18,391,6.4109,1
給付年度,19,370,6.0666,2
給付年度,22,362,5.9354,3
給付年度,21,361,5.919,4
給付年度,20,358,5.8698,5
給付年度,27,338,5.5419,6
給付年度,30,335,5.4927,7
給付年度,17,333,5.4599,8
給付年度,24,331,5.4271,9
給付年度,29,322,5.2796,10
給付年度,2,321,5.2632,11
給付年度,26,320,5.2468,12
給付年度,25,308,5.05,13
給付年度,28,308,5.05,14
給付年度,1,300,4.9188,15
給付年度,23,288,4.7221,16
給付年度,3,278,4.5581,17
給付年度,5,266,4.3614,18
給付年度,4,209,3.4268,19
種別,外貌・露出部分の醜状障害,1841,30.1853,1
種別,視力・眼球運動障害,1768,28.9884,2
種別,精神・神経障害,878,14.3958,3
種別,手指切断・機能障害,503,8.2473,4
種別,胸腹部臓器障害,411,6.7388,5
種別,上肢切断・機能障害,217,3.558,6
種別,下肢切断・機能障害,158,2.5906,7
種別,せき柱障害,154,2.525,8
種別,聴力障害,121,1.9839,9
種別,足指切断・機能障害,28,0.4591,10
種別,そしゃく機能障害,20,0.3279,11
被災学校種,高,2062,33.8088,1
被災学校種,中,1839,30.1525,2
被災学校種,小,1686,27.6439,3
被災学校種,保,250,4.099,4
被災学校種,幼,117,1.9183,5
被災学校種,特高,56,0.9182,6
被災学校種,高専,31,0.5083,7
被災学校種,特中,26,0.4263,8
被災学校種,特小,19,0.3115,9
被災学校種,幼連,13,0.2131,10
被災学年,2,1891,31.0051,1
被災学年,1,1752,28.726,2
被災学年,3,1299,21.2986,3
被災学年,5,403,6.6076,4
被災学年,6,384,6.2961,5
被災学年,4,366,6.001,6
被災学年,0,4,0.0656,7
性別,男,4292,70.3722,1
性別,女,1807,29.6278,2
場合別1,課外指導,2159,35.3992,1
場合別1,休憩時間,1394,22.8562,2
場合別1,各教科等,1226,20.1017,3
場合別1,保育中,378,6.1977,4
場合別1,通学中,328,5.3779,5
場合別1,特別活動（除学校行事）,301,4.9352,6
場合別1,学校行事,296,4.8533,7
場合別1,寄宿舎にあるとき,17,0.2787,8
場合別2,体育的部活動,2081,34.1203,1
場合別2,体育（保健体育）,895,14.6745,2
場合別2,休憩時間中,538,8.8211,3
場合別2,昼食時休憩時間中,452,7.4111,4
場合別2,（欠損）,395,6.4765,5
場合別2,授業終了後の特定時間中,229,3.7547,6
場合別2,下校（降園）中,184,3.0169,7
場合別2,始業前の特定時間中,175,2.8693,8
場合別2,その他の教科,138,2.2627,9
場合別2,登校（登園）中,132,2.1643,10
場合別2,日常の清掃,103,1.6888,11
場合別2,学級（ホームルーム）活動,77,1.2625,12
場合別2,運動会・体育祭,68,1.1149,13
場合別2,競技大会・球技大会,63,1.033,14
場合別2,その他,54,0.8854,15
場合別2,給食指導,50,0.8198,16
場合別2,その他集団宿泊的行事,43,0.705,17
場合別2,理科,42,0.6886,18
場合別2,文化的部活動,41,0.6722,19
場合別2,総合的な学習の時間,39,0.6394,20
場合別2,家庭（技術・家庭）,39,0.6394,21
場合別2,図画工作（美術）,25,0.4099,22
場合別2,修学旅行,24,0.3935,23
場合別2,その他学級活動,24,0.3935,24
