給付年度,件数,割合（％）,前年度差,前年度比（％）
1,300,4.9188,,
2,321,5.2632,21.0,7.0
3,278,4.5581,-43.0,-13.3956
4,209,3.4268,-69.0,-24.8201
5,266,4.3614,57.0,27.2727
17,333,5.4599,67.0,25.188
18,391,6.4109,58.0,17.4174
19,370,6.0666,-21.0,-5.3708
20,358,5.8698,-12.0,-3.2432
21,361,5.919,3.0,0.838
22,362,5.9354,1.0,0.277
23,288,4.7221,-74.0,-20.442
24,331,5.4271,43.0,14.9306
25,308,5.05,-23.0,-6.9486
26,320,5.2468,12.0,3.8961
27,338,5.5419,18.0,5.625
28,308,5.05,-30.0,-8.8757
29,322,5.2796,14.0,4.5455
30,335,5.4927,13.0,4.0373
