単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
部,2159,1836,30.1033,1
練習,1865,1606,26.3322,2
眼,1772,1467,24.0531,3
ボール,1621,1221,20.0197,4
当たる,1359,1297,21.2658,5
れる,1316,1158,18.9867,6
負傷,1261,1259,20.6427,7
転倒,890,856,14.0351,8
相手,824,696,11.4117,9
残る,816,794,13.0185,10
試合,791,728,11.9364,11
友人,770,570,9.3458,12
場,756,729,11.9528,13
体育,742,722,11.838,14
時間,704,698,11.4445,15
運動,700,669,10.969,16
走る,681,589,9.6573,17
打つ,663,632,10.3624,18
しまう,654,558,9.149,19
顔面,586,550,9.0179,20
くる,574,548,8.9851,21
手,570,510,8.362,22
足,568,525,8.608,23
倒れる,559,525,8.608,24
教室,555,485,7.9521,25
強打,514,508,8.3292,26
野球,507,497,8.1489,27
遊ぶ,494,470,7.7062,28
体育館,494,462,7.575,29
強い,458,446,7.3127,30
人,441,365,5.9846,31
ガラス,438,253,4.1482,32
救急,433,390,6.3945,33
ぶつかる,427,409,6.706,34
サッカー,423,401,6.5748,35
バランス,415,409,6.706,36
障害,405,340,5.5747,37
崩す,397,396,6.4929,38
蹴る,395,370,6.0666,39
骨折,391,369,6.0502,40
投げる,391,347,5.6895,41
直撃,390,389,6.3781,42
右手,389,339,5.5583,43
搬送,389,389,6.3781,44
指,388,253,4.1482,45
休憩,377,373,6.1158,46
頭部,366,325,5.3287,47
手術,357,335,5.4927,48
膝,357,309,5.0664,49
治療,345,339,5.5583,50
地面,342,328,5.3779,51
廊下,340,290,4.7549,52
室,324,299,4.9024,53
頭,311,281,4.6073,54
床,300,274,4.4925,55
ぶつける,300,297,4.8697,56
左手,297,258,4.2302,57
性,294,246,4.0334,58
入る,292,273,4.4761,59
顔,288,268,4.3942,60
瘢痕,286,284,4.6565,61
滑る,283,276,4.5253,62
持つ,283,252,4.1318,63
打球,282,267,4.3778,64
切る,281,273,4.4761,65
られる,273,243,3.9843,66
受診,272,261,4.2794,67
行く,270,259,4.2466,68
車,269,240,3.9351,69
状態,268,253,4.1482,70
病院,267,257,4.2138,71
頬,265,243,3.9843,72
バッティング,262,231,3.7875,73
落下,262,252,4.1318,74
額,259,243,3.9843,75
落ちる,257,244,4.0007,76
取る,251,243,3.9843,77
つく,251,242,3.9679,78
機能,250,221,3.6235,79
本,249,182,2.9841,80
保育,248,181,2.9677,81
自転車,247,177,2.9021,82
出る,244,237,3.8859,83
肘,241,196,3.2136,84
残存,240,240,3.9351,85
部分,239,225,3.6891,86
児,237,148,2.4266,87
選手,232,199,3.2628,88
球,232,182,2.9841,89
外,229,218,3.5744,90
ドア,227,135,2.2135,91
終了,226,224,3.6727,92
窓,225,157,2.5742,93
意識,223,207,3.394,94
外傷,220,189,3.0989,95
近く,217,211,3.4596,96
せる,216,207,3.394,97
目,216,185,3.0333,98
負う,211,210,3.4432,99
ｍ,210,178,2.9185,100
階段,209,151,2.4758,101
付近,208,206,3.3776,102
かける,208,203,3.3284,103
バスケットボール,206,202,3.312,104
飛ぶ,204,198,3.2464,105
体,198,188,3.0825,106
割れる,197,189,3.0989,107
失う,195,191,3.1317,108
準備,194,187,3.0661,109
ネット,192,147,2.4102,110
歩く,188,179,2.9349,111
状,188,186,3.0497,112
痛み,185,164,2.689,113
マット,181,140,2.2955,114
ふざける,180,175,2.8693,115
衝突,177,173,2.8365,116
下校,176,173,2.8365,117
後ろ,174,164,2.689,118
接触,174,171,2.8037,119
ゴール,171,124,2.0331,120
鬼ごっこ,170,166,2.7218,121
顎,169,148,2.4266,122
前額,167,145,2.3774,123
角,167,164,2.689,124
線,165,164,2.689,125
校庭,164,156,2.5578,126
乗る,164,157,2.5742,127
視力,164,162,2.6562,128
関節,162,137,2.2463,129
押す,159,145,2.3774,130
かかる,159,157,2.5742,131
側,158,143,2.3446,132
痕,158,158,2.5906,133
間,157,153,2.5086,134
右足,157,137,2.2463,135
転落,156,149,2.443,136
階,156,110,1.8036,137
向かう,155,154,2.525,138
登校,155,144,2.361,139
内,155,151,2.4758,140
戻る,153,147,2.4102,141
チーム,153,141,2.3119,142
昼食,152,152,2.4922,143
大会,151,148,2.4266,144
出血,149,142,2.3283,145
横,149,143,2.3446,146
座る,148,134,2.1971,147
見る,148,137,2.2463,148
首,147,130,2.1315,149
挟む,147,146,2.3938,150
着地,146,138,2.2627,151
友達,145,113,1.8528,152
移動,145,140,2.2955,153
机,145,89,1.4593,154
大腿,145,115,1.8856,155
途中,144,141,2.3119,156
プール,143,87,1.4265,157
背中,142,128,2.0987,158
口,142,131,2.1479,159
打撲,141,139,2.2791,160
誤る,140,139,2.2791,161
後方,138,132,2.1643,162
痛める,136,135,2.2135,163
追いかける,136,128,2.0987,164
遊び,135,131,2.1479,165
左足,135,118,1.9347,166
ほお,135,118,1.9347,167
動,135,85,1.3937,168
シュート,134,116,1.902,169
細,134,84,1.3773,170
腰,133,121,1.9839,171
シャトル,131,101,1.656,172
小指,129,115,1.8856,173
前方,127,124,2.0331,174
転ぶ,127,123,2.0167,175
耳,126,100,1.6396,176
つまずく,126,125,2.0495,177
トイレ,125,101,1.656,178
捕る,125,108,1.7708,179
グラウンド,125,122,2.0003,180
骨,125,104,1.7052,181
回,124,98,1.6068,182
さ,123,114,1.8692,183
教員,123,98,1.6068,184
台,122,91,1.492,185
減退,122,121,1.9839,186
腕,122,105,1.7216,187
出す,121,114,1.8692,188
鉄棒,120,80,1.3117,189
昼休み,119,119,1.9511,190
除,119,81,1.3281,191
先,117,110,1.8036,192
バット,115,95,1.5576,193
柔道,114,106,1.738,194
名,114,94,1.5412,195
瞳,113,111,1.82,196
ゲーム,112,100,1.6396,197
散る,112,111,1.82,198
部員,111,98,1.6068,199
立つ,111,107,1.7544,200
切れる,111,110,1.8036,201
眼球,111,107,1.7544,202
AED,111,100,1.6396,203
ソフトボール,110,107,1.7544,204
勢い,110,108,1.7708,205
作業,110,91,1.492,206
扉,110,67,1.0985,207
使う,109,107,1.7544,208
逃げる,108,102,1.6724,209
隣,108,102,1.6724,210
園,108,104,1.7052,211
ない,108,95,1.5576,212
体操,107,104,1.7052,213
男子,106,92,1.5084,214
ろ,106,100,1.6396,215
疼痛,106,106,1.738,216
バドミントン,106,105,1.7216,217
指導,105,93,1.5248,218
おる,105,102,1.6724,219
清掃,105,97,1.5904,220
挫創,105,101,1.656,221
切断,105,97,1.5904,222
道路,104,97,1.5904,223
打ちつける,104,104,1.7052,224
振る,104,100,1.6396,225
気付く,104,102,1.6724,226
急,104,100,1.6396,227
心肺,104,96,1.574,228
競技,103,92,1.5084,229
コンクリート,103,98,1.6068,230
入れる,103,98,1.6068,231
壁,103,99,1.6232,232
使用,103,95,1.5576,233
拾う,103,98,1.6068,234
両手,102,92,1.5084,235
左腕,102,94,1.5412,236
朝,101,99,1.6232,237
ノック,101,89,1.4593,238
置く,101,96,1.574,239
訴える,100,96,1.574,240
うし,100,94,1.5412,241
打ち付ける,100,100,1.6396,242
守備,100,94,1.5412,243
左側,99,97,1.5904,244
力,99,98,1.6068,245
支柱,99,69,1.1313,246
脳,99,90,1.4757,247
等,98,95,1.5576,248
ピッチャー,98,92,1.5084,249
跳ぶ,98,84,1.3773,250
後頭部,97,94,1.5412,251
クラス,97,93,1.5248,252
コート,97,81,1.3281,253
身体,97,86,1.4101,254
鼻,96,90,1.4757,255
高い,96,91,1.492,256
校舎,96,83,1.3609,257
麻痺,96,92,1.5084,258
視野,96,91,1.492,259
