品詞,品詞細分類,形態素数,全形態素割合（％）,出現事例数,事例出現率（％）
名詞,一般,64837,20.7601,6099,100.0
助詞,格助詞,49271,15.7761,6098,99.9836
動詞,自立,39195,12.5498,6098,99.9836
助動詞,*,23423,7.4998,6026,98.8031
名詞,サ変接続,23091,7.3935,5787,94.8844
記号,読点,20501,6.5642,5994,98.2784
助詞,連体化,14918,4.7766,5485,89.9328
名詞,接尾,14062,4.5025,5145,84.3581
助詞,接続助詞,13463,4.3107,5229,85.7354
記号,句点,10580,3.3876,6062,99.3933
名詞,非自立,8757,2.8039,5046,82.7349
動詞,非自立,7917,2.5349,4661,76.4224
接頭詞,名詞接続,3567,1.1421,2611,42.8103
名詞,数,2967,0.95,1546,25.3484
名詞,副詞可能,2558,0.819,1988,32.5955
動詞,接尾,1817,0.5818,1499,24.5778
助詞,係助詞,1426,0.4566,1017,16.6749
形容詞,自立,1385,0.4435,1175,19.2655
連体詞,*,1264,0.4047,1107,18.1505
助詞,並立助詞,1258,0.4028,1082,17.7406
副詞,一般,730,0.2337,583,9.5589
名詞,固有名詞,710,0.2273,487,7.9849
名詞,形容動詞語幹,589,0.1886,523,8.5752
記号,括弧開,567,0.1815,509,8.3456
副詞,助詞類接続,563,0.1803,502,8.2309
記号,括弧閉,561,0.1796,505,8.28
接頭詞,数接続,459,0.147,347,5.6895
助詞,副詞化,441,0.1412,401,6.5748
助詞,副助詞,356,0.114,324,5.3123
接続詞,*,330,0.1057,305,5.0008
記号,一般,194,0.0621,141,2.3119
名詞,代名詞,179,0.0573,173,2.8365
助詞,終助詞,106,0.0339,62,1.0166
助詞,副助詞／並立助詞／終助詞,63,0.0202,58,0.951
記号,アルファベット,53,0.017,37,0.6067
記号,空白,52,0.0166,36,0.5903
名詞,接続詞的,41,0.0131,39,0.6394
形容詞,非自立,26,0.0083,26,0.4263
感動詞,*,15,0.0048,14,0.2295
フィラー,*,8,0.0026,8,0.1312
接頭詞,動詞接続,5,0.0016,5,0.082
形容詞,接尾,3,0.001,3,0.0492
名詞,ナイ形容詞語幹,3,0.001,3,0.0492
名詞,特殊,2,0.0006,2,0.0328
その他,間投,2,0.0006,2,0.0328
