項目数,項目集合,事例数,支持度,支持度（％）
1,和暦=平成,4725,0.7747171667486473,77.4717
1,性別=男,4292,0.7037219216264962,70.3722
1,発生場所1=学校内・校舎内（園内・園舎内）,2649,0.43433349729463844,43.4333
1,発生場所1=学校内・校舎外（園内・園舎外）,2331,0.382193802262666,38.2194
1,発生場所2=運動場・校庭（園庭）,2159,0.3539924577799639,35.3992
1,場合別1=課外指導,2159,0.3539924577799639,35.3992
1,場合別2=体育的部活動,2081,0.3412034759796688,34.1203
1,被災学校種=高,2062,0.33808821118216104,33.8088
1,被災学年=2,1891,0.31005082800459094,31.0051
1,被災学校種=中,1839,0.3015248401377275,30.1525
1,性別=女,1807,0.29627807837350384,29.6278
1,被災学年=1,1752,0.28726020659124446,28.726
1,被災学校種=小,1686,0.2764387604525332,27.6439
1,場合別1=休憩時間,1394,0.22856205935399246,22.8562
1,和暦=令和,1374,0.22528283325135268,22.5283
1,被災学年=3,1299,0.21298573536645352,21.2986
1,場合別1=各教科等,1226,0.20101656009181834,20.1017
1,発生場所1=学校外（園外）,1119,0.18347270044269554,18.3473
1,発生場所2=体育館・屋内運動場,1007,0.16510903426791276,16.5109
1,場合別2=体育（保健体育）,895,0.14674536809313002,14.6745
1,競技種目=野球（含軟式）,765,0.12543039842597148,12.543
1,発生場所2=教室（保育室）,701,0.11493687489752419,11.4937
1,場合別2=休憩時間中,538,0.08821118216101,8.8211
1,場合別2=昼食時休憩時間中,452,0.07411050991965897,7.4111
1,競技種目=サッカー・フットサル,423,0.06935563207083129,6.9356
1,被災学年=5,403,0.0660764059681915,6.6076
1,発生場所2=廊下,392,0.06427283161173963,6.4273
1,給付年度=18,391,0.06410887030660764,6.4109
1,被災学年=6,384,0.06296114117068372,6.2961
1,場合別1=保育中,378,0.061977373339891784,6.1977
1,発生場所2=学校外運動場・競技場,374,0.06132152811936383,6.1322
1,給付年度=19,370,0.06066568289883587,6.0666
1,被災学年=4,366,0.06000983767830792,6.001
1,給付年度=22,362,0.05935399245777996,5.9354
1,給付年度=21,361,0.059190031152647975,5.919
1,給付年度=20,358,0.05869814723725201,5.8698
1,発生場所2=道路,343,0.05623872766027217,5.6239
1,給付年度=27,338,0.055418921134612234,5.5419
1,給付年度=30,335,0.05492703721921627,5.4927
1,給付年度=17,333,0.05459911460895229,5.4599
1,給付年度=24,331,0.05427119199868831,5.4271
1,場合別1=通学中,328,0.05377930808329234,5.3779
1,給付年度=29,322,0.05279554025250041,5.2796
1,給付年度=2,321,0.05263157894736842,5.2632
1,発生場所2=その他,320,0.05246761764223643,5.2468
1,給付年度=26,320,0.05246761764223643,5.2468
1,給付年度=25,308,0.05050008198065257,5.05
1,給付年度=28,308,0.05050008198065257,5.05
1,場合別1=特別活動（除学校行事）,301,0.04935235284472864,4.9352
1,給付年度=1,300,0.04918839153959666,4.9188
1,場合別1=学校行事,296,0.0485325463190687,4.8533
1,給付年度=23,288,0.04722085587801279,4.7221
1,給付年度=3,278,0.0455812428266929,4.5581
1,給付年度=5,266,0.04361370716510903,4.3614
1,被災学校種=保,250,0.04099032628299721,4.099
1,競技種目=バスケットボール,233,0.0382029840957534,3.8203
1,場合別2=授業終了後の特定時間中,229,0.03754713887522545,3.7547
1,給付年度=4,209,0.03426791277258567,3.4268
1,場合別2=下校（降園）中,184,0.03016888014428595,3.0169
1,場合別2=始業前の特定時間中,175,0.02869322839809805,2.8693
1,通学方法=徒歩,159,0.026069847515986226,2.607
1,発生場所2=実習実験室,152,0.024922118380062305,2.4922
1,通学方法=自転車,138,0.02262666010821446,2.2627
1,競技種目=ソフトボール,138,0.02262666010821446,2.2627
1,場合別2=その他の教科,138,0.02262666010821446,2.2627
1,発生場所2=学校外体育館,133,0.021806853582554516,2.1807
1,場合別2=登校（登園）中,132,0.02164289227742253,2.1643
1,競技種目=柔道,129,0.02115100836202656,2.1151
1,競技種目=バドミントン,125,0.020495163141498605,2.0495
1,被災学校種=幼,117,0.019183472700442697,1.9183
1,競技種目=バレーボール,115,0.018855550090178717,1.8856
1,場合別2=日常の清掃,103,0.01688801442859485,1.6888
1,競技種目=その他,101,0.016560091818330874,1.656
1,発生場所2=昇降口・玄関,96,0.01574028529267093,1.574
1,発生場所2=階段,94,0.015412362682406953,1.5412
1,競技種目=テニス（含ソフトテニス）,93,0.015248401377274963,1.5248
1,発生場所2=プール,92,0.015084440072142975,1.5084
1,競技種目=ラグビー,91,0.014920478767010985,1.492
1,競技種目=水泳,84,0.013772749631087064,1.3773
1,競技種目=持久走・長距離走,81,0.013280865715691098,1.3281
1,競技種目=マット運動,78,0.01278898180029513,1.2789
1,場合別2=学級（ホームルーム）活動,77,0.012625020495163142,1.2625
1,場合別2=運動会・体育祭,68,0.011149368748975241,1.1149
1,場合別2=競技大会・球技大会,63,0.010329562223315297,1.033
1,競技種目=跳箱運動,61,0.01000163961305132,1.0002
2,和暦=平成 | 性別=男,3312,0.5430398425971471,54.304
2,発生場所1=学校内・校舎外（園内・園舎外） | 発生場所2=運動場・校庭（園庭）,2153,0.353008689949172,35.3009
2,場合別1=課外指導 | 場合別2=体育的部活動,2081,0.3412034759796688,34.1203
2,和暦=平成 | 発生場所1=学校内・校舎内（園内・園舎内）,2048,0.3357927529103132,33.5793
2,和暦=平成 | 発生場所1=学校内・校舎外（園内・園舎外）,1815,0.2975897688145598,29.759
2,性別=男 | 発生場所1=学校内・校舎外（園内・園舎外）,1756,0.28791605181177243,28.7916
2,場合別1=課外指導 | 性別=男,1723,0.2825053287424168,28.2505
2,性別=男 | 発生場所1=学校内・校舎内（園内・園舎内）,1715,0.2811936383013609,28.1194
2,場合別2=体育的部活動 | 性別=男,1688,0.27676668306279717,27.6767
2,和暦=平成 | 発生場所2=運動場・校庭（園庭）,1674,0.2744712247909493,27.4471
2,性別=男 | 被災学校種=高,1654,0.27119199868830957,27.1192
2,性別=男 | 発生場所2=運動場・校庭（園庭）,1633,0.2677488112805378,26.7749
2,和暦=平成 | 場合別1=課外指導,1621,0.2657812756189539,26.5781
2,和暦=平成 | 場合別2=体育的部活動,1566,0.25676340383669455,25.6763
2,和暦=平成 | 被災学校種=高,1528,0.25053287424167897,25.0533
2,和暦=平成 | 被災学年=2,1468,0.24069519593375963,24.0695
2,和暦=平成 | 被災学校種=中,1452,0.23807181505164782,23.8072
2,和暦=平成 | 性別=女,1413,0.23167732415150025,23.1677
2,性別=男 | 被災学年=2,1393,0.22839809804886047,22.8398
2,性別=男 | 被災学校種=中,1337,0.2192162649614691,21.9216
2,和暦=平成 | 被災学校種=小,1332,0.21839645843580915,21.8396
2,和暦=平成 | 被災学年=1,1325,0.21724872929988523,21.7249
2,場合別1=課外指導 | 被災学校種=高,1278,0.20954254795868174,20.9543
2,場合別2=体育的部活動 | 被災学校種=高,1247,0.2044597474995901,20.446
2,性別=男 | 被災学年=1,1246,0.2042957861944581,20.4296
2,和暦=平成 | 場合別1=休憩時間,1136,0.18626004262993934,18.626
2,場合別1=課外指導 | 発生場所1=学校内・校舎外（園内・園舎外）,1049,0.1719954090834563,17.1995
2,場合別2=体育的部活動 | 発生場所1=学校内・校舎外（園内・園舎外）,1032,0.16920806689621248,16.9208
2,和暦=平成 | 被災学年=3,1019,0.16707656992949663,16.7077
2,性別=男 | 被災学校種=小,1008,0.16527299557304476,16.5273
2,発生場所1=学校内・校舎内（園内・園舎内） | 発生場所2=体育館・屋内運動場,1007,0.16510903426791276,16.5109
2,場合別1=課外指導 | 発生場所2=運動場・校庭（園庭）,1004,0.1646171503525168,16.4617
2,場合別2=体育的部活動 | 発生場所2=運動場・校庭（園庭）,997,0.1634694212165929,16.3469
2,和暦=令和 | 性別=男,980,0.16068207902934908,16.0682
2,場合別1=休憩時間 | 性別=男,957,0.15691096901131332,15.6911
2,性別=男 | 被災学年=3,941,0.15428758812920151,15.4288
2,性別=女 | 発生場所1=学校内・校舎内（園内・園舎内）,934,0.1531398589932776,15.314
2,和暦=平成 | 場合別1=各教科等,913,0.1496966715855058,14.9697
2,場合別1=各教科等 | 場合別2=体育（保健体育）,895,0.14674536809313002,14.6745
2,場合別1=休憩時間 | 発生場所1=学校内・校舎内（園内・園舎内）,892,0.14625348417773407,14.6253
2,場合別1=課外指導 | 被災学年=2,881,0.14444990982128217,14.445
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学校種=高,870,0.1426463354648303,14.2646
2,和暦=平成 | 発生場所1=学校外（園外）,862,0.14133464502377438,14.1335
2,場合別1=休憩時間 | 被災学校種=小,861,0.1411706837186424,14.1171
2,場合別2=体育的部活動 | 被災学年=2,858,0.14067879980324643,14.0679
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学校種=小,854,0.1400229545827185,14.0023
2,場合別1=課外指導 | 被災学年=1,846,0.13871126414166257,13.8711
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学校種=中,838,0.13739957370060665,13.74
2,場合別2=体育的部活動 | 被災学年=1,825,0.1352680767338908,13.5268
2,性別=男 | 発生場所1=学校外（園外）,821,0.13461223151336285,13.4612
2,場合別1=各教科等 | 性別=男,816,0.1337924249877029,13.3792
2,発生場所2=運動場・校庭（園庭） | 被災学校種=高,815,0.13362846368257092,13.3628
2,場合別1=課外指導 | 被災学校種=中,814,0.13346450237743893,13.3465
