前件,後件,項目数,共起事例数,支持度,信頼度,lift
発生場所2=プール,発生場所1=学校内・校舎外（園内・園舎外） | 競技種目=水泳,3,72,0.011805213969503197,0.782608695652174,64.50176263219743
発生場所1=学校内・校舎外（園内・園舎外） | 競技種目=水泳,発生場所2=プール,3,72,0.011805213969503197,0.972972972972973,64.50176263219741
競技種目=水泳,和暦=平成 | 発生場所2=プール,3,63,0.010329562223315297,0.75,60.1875
和暦=平成 | 発生場所2=プール,競技種目=水泳,3,63,0.010329562223315297,0.8289473684210527,60.1875
発生場所2=プール,和暦=平成 | 競技種目=水泳,3,63,0.010329562223315297,0.6847826086956522,57.21217986896963
和暦=平成 | 競技種目=水泳,発生場所2=プール,3,63,0.010329562223315297,0.863013698630137,57.21217986896962
発生場所2=プール,競技種目=水泳,2,72,0.011805213969503197,0.782608695652174,56.82298136645963
発生場所1=学校内・校舎外（園内・園舎外） | 発生場所2=プール,競技種目=水泳,3,72,0.011805213969503197,0.782608695652174,56.82298136645963
競技種目=水泳,発生場所2=プール,2,72,0.011805213969503197,0.8571428571428571,56.82298136645962
競技種目=水泳,発生場所1=学校内・校舎外（園内・園舎外） | 発生場所2=プール,3,72,0.011805213969503197,0.8571428571428571,56.82298136645962
場合別1=学校行事 | 発生場所2=運動場・校庭（園庭）,場合別2=運動会・体育祭,3,62,0.01016560091818331,0.5740740740740741,51.489379084967325
場合別2=運動会・体育祭,場合別1=学校行事 | 発生場所2=運動場・校庭（園庭）,3,62,0.01016560091818331,0.9117647058823529,51.48937908496732
場合別1=学校行事 | 発生場所1=学校内・校舎外（園内・園舎外）,場合別2=運動会・体育祭,3,62,0.01016560091818331,0.543859649122807,48.77941176470589
場合別2=運動会・体育祭,場合別1=学校行事 | 発生場所1=学校内・校舎外（園内・園舎外）,3,62,0.01016560091818331,0.9117647058823529,48.779411764705884
通学方法=徒歩,場合別2=下校（降園）中 | 被災学校種=小,3,87,0.01426463354648303,0.5471698113207547,37.49650201399194
場合別2=下校（降園）中 | 被災学校種=小,通学方法=徒歩,3,87,0.01426463354648303,0.9775280898876404,37.49650201399194
通学方法=徒歩,場合別1=通学中 | 被災学校種=小,3,121,0.019839317920970653,0.7610062893081762,37.13101886792453
場合別1=通学中 | 被災学校種=小,通学方法=徒歩,3,121,0.019839317920970653,0.968,37.13101886792453
発生場所2=道路 | 被災学校種=小,通学方法=徒歩,3,113,0.01852762747991474,0.9338842975206612,35.82239201621706
通学方法=徒歩,発生場所2=道路 | 被災学校種=小,3,113,0.01852762747991474,0.710691823899371,35.82239201621705
通学方法=自転車,場合別1=通学中 | 被災学校種=高,3,100,0.016396130513198885,0.7246376811594203,33.73713906405576
場合別1=通学中 | 被災学校種=高,通学方法=自転車,3,100,0.016396130513198885,0.7633587786259542,33.73713906405576
通学方法=自転車,発生場所2=道路 | 被災学校種=高,3,97,0.01590424659780292,0.7028985507246377,29.362864800476473
発生場所2=道路 | 被災学校種=高,通学方法=自転車,3,97,0.01590424659780292,0.6643835616438356,29.362864800476473
通学方法=自転車,場合別2=登校（登園）中 | 発生場所2=道路,3,74,0.012133136579767174,0.5362318840579711,27.253985507246377
場合別2=登校（登園）中 | 発生場所2=道路,通学方法=自転車,3,74,0.012133136579767174,0.6166666666666667,27.253985507246377
場合別2=その他の教科,場合別1=各教科等 | 発生場所2=教室（保育室）,3,61,0.01000163961305132,0.4420289855072464,25.675569358178056
場合別1=各教科等 | 発生場所2=教室（保育室）,場合別2=その他の教科,3,61,0.01000163961305132,0.580952380952381,25.675569358178056
通学方法=徒歩,和暦=平成 | 場合別2=下校（降園）中,3,94,0.015412362682406953,0.5911949685534591,25.572327044025158
和暦=平成 | 場合別2=下校（降園）中,通学方法=徒歩,3,94,0.015412362682406953,0.6666666666666666,25.572327044025158
通学方法=自転車,場合別1=通学中 | 被災学年=1,3,67,0.010985407443843253,0.4855072463768116,25.526799100449775
場合別1=通学中 | 被災学年=1,通学方法=自転車,3,67,0.010985407443843253,0.5775862068965517,25.526799100449775
場合別2=登校（登園）中,発生場所2=道路 | 通学方法=自転車,3,74,0.012133136579767174,0.5606060606060606,25.326936026936025
発生場所2=道路 | 通学方法=自転車,場合別2=登校（登園）中,3,74,0.012133136579767174,0.5481481481481482,25.326936026936025
場合別2=登校（登園）中,発生場所1=学校外（園外） | 通学方法=自転車,3,74,0.012133136579767174,0.5606060606060606,24.957199734571997
