クラスタ,順位,代表特徴,中心値
0,1,遊具等_（欠損）,0.9370598793029785
0,2,通学方法_（欠損）,0.9102082848548889
0,3,競技種目_（欠損）,0.8190856575965881
0,4,性別_男,0.6208704710006714
0,5,発生場所1_学校内・校舎内（園内・園舎内）,0.5817286372184753
0,6,被災学校種_小,0.44911542534828186
0,7,性別_女,0.379129558801651
0,8,場合別1_休憩時間,0.3622984290122986
0,9,発生場所1_学校内・校舎外（園内・園舎外）,0.2692187428474426
0,10,場合別1_各教科等,0.2635039985179901
0,11,被災学校種_中,0.24863004684448242
0,12,被災学年_2,0.24377644062042236
0,13,発生場所2_運動場・校庭（園庭）,0.2363394796848297
0,14,被災学年_1,0.22710195183753967
0,15,被災学年_3,0.21770790219306946
1,1,通学方法_（欠損）,0.9990264773368835
1,2,遊具等_（欠損）,0.995741069316864
1,3,場合別1_課外指導,0.8624969720840454
1,4,場合別2_体育的部活動,0.8594546914100647
1,5,性別_男,0.8242880702018738
1,6,被災学校種_高,0.5984423160552979
1,7,発生場所1_学校内・校舎外（園内・園舎外）,0.5602335333824158
1,8,発生場所2_運動場・校庭（園庭）,0.5365054607391357
1,9,被災学年_2,0.3976637125015259
1,10,被災学年_1,0.38014116883277893
1,11,被災学校種_中,0.3768557012081146
1,12,競技種目_野球（含軟式）,0.3189341723918915
1,13,発生場所1_学校外（園外）,0.23314674198627472
1,14,被災学年_3,0.20759311318397522
1,15,発生場所1_学校内・校舎内（園内・園舎内）,0.20661962032318115
