主成分,順位,特徴,負荷量,絶対負荷量
PC1,1,場合別2_体育的部活動,0.4035360515117645,0.4035360515117645
PC1,2,場合別1_課外指導,0.4004863202571869,0.4004863202571869
PC1,3,競技種目_（欠損）,-0.3990525007247925,0.3990525007247925
PC1,4,発生場所1_学校内・校舎内（園内・園舎内）,-0.2814629077911377,0.2814629077911377
PC1,5,被災学校種_高,0.25288593769073486,0.25288593769073486
PC1,6,被災学校種_小,-0.24192306399345398,0.24192306399345398
PC1,7,発生場所1_学校内・校舎外（園内・園舎外）,0.22012636065483093,0.22012636065483093
PC1,8,発生場所2_運動場・校庭（園庭）,0.21895870566368103,0.21895870566368103
PC1,9,場合別1_休憩時間,-0.21854755282402039,0.21854755282402039
PC1,10,競技種目_野球（含軟式）,0.18813100457191467,0.18813100457191467
PC1,11,性別_男,0.14418840408325195,0.14418840408325195
PC1,12,性別_女,-0.14418840408325195,0.14418840408325195
PC1,13,発生場所2_教室（保育室）,-0.12908336520195007,0.12908336520195007
PC1,14,場合別2_休憩時間中,-0.09430673718452454,0.09430673718452454
PC1,15,被災学年_2,0.09064234793186188,0.09064234793186188
PC1,16,被災学年_1,0.08156022429466248,0.08156022429466248
PC1,17,競技種目_サッカー・フットサル,0.07373625785112381,0.07373625785112381
PC1,18,発生場所2_学校外運動場・競技場,0.07077128440141678,0.07077128440141678
PC1,19,発生場所2_廊下,-0.06572921574115753,0.06572921574115753
PC1,20,場合別2_昼食時休憩時間中,-0.06397083401679993,0.06397083401679993
PC2,1,発生場所1_学校内・校舎外（園内・園舎外）,0.5263069272041321,0.5263069272041321
PC2,2,発生場所2_運動場・校庭（園庭）,0.5050907731056213,0.5050907731056213
PC2,3,発生場所1_学校内・校舎内（園内・園舎内）,-0.3855578899383545,0.3855578899383545
PC2,4,発生場所2_体育館・屋内運動場,-0.27269062399864197,0.27269062399864197
PC2,5,被災学校種_小,0.21395017206668854,0.21395017206668854
PC2,6,場合別1_休憩時間,0.16253052651882172,0.16253052651882172
PC2,7,競技種目_（欠損）,0.1620870679616928,0.1620870679616928
PC2,8,場合別1_課外指導,-0.15224170684814453,0.15224170684814453
PC2,9,場合別2_体育的部活動,-0.14661581814289093,0.14661581814289093
PC2,10,発生場所1_学校外（園外）,-0.14074906706809998,0.14074906706809998
PC2,11,被災学校種_高,-0.1347658783197403,0.1347658783197403
PC2,12,被災学校種_中,-0.09367097914218903,0.09367097914218903
PC2,13,遊具等_（欠損）,-0.08417046815156937,0.08417046815156937
PC2,14,被災学年_2,-0.07797778397798538,0.07797778397798538
PC2,15,発生場所2_学校外運動場・競技場,-0.07703488320112228,0.07703488320112228
PC2,16,場合別2_昼食時休憩時間中,0.07527336478233337,0.07527336478233337
PC2,17,競技種目_バスケットボール,-0.06272546201944351,0.06272546201944351
PC2,18,被災学年_5,0.04841357097029686,0.04841357097029686
PC2,19,場合別2_休憩時間中,0.04804659262299538,0.04804659262299538
PC2,20,発生場所2_教室（保育室）,-0.0475318469107151,0.0475318469107151
PC3,1,場合別1_各教科等,0.4644452929496765,0.4644452929496765
PC3,2,場合別2_体育（保健体育）,0.42696598172187805,0.42696598172187805
PC3,3,競技種目_（欠損）,-0.3141777217388153,0.3141777217388153
PC3,4,発生場所1_学校外（園外）,-0.3034876883029938,0.3034876883029938
PC3,5,発生場所2_体育館・屋内運動場,0.26524314284324646,0.26524314284324646
PC3,6,性別_男,-0.2157556116580963,0.2157556116580963
PC3,7,性別_女,0.21575559675693512,0.21575559675693512
PC3,8,場合別1_休憩時間,-0.16415956616401672,0.16415956616401672
PC3,9,発生場所1_学校内・校舎外（園内・園舎外）,0.15764406323432922,0.15764406323432922
PC3,10,発生場所1_学校内・校舎内（園内・園舎内）,0.14584359526634216,0.14584359526634216
PC3,11,発生場所2_運動場・校庭（園庭）,0.14439254999160767,0.14439254999160767
PC3,12,場合別1_通学中,-0.13034723699092865,0.13034723699092865
PC3,13,通学方法_（欠損）,0.13034720718860626,0.13034720718860626
PC3,14,発生場所2_道路,-0.1282302886247635,0.1282302886247635
PC3,15,場合別1_課外指導,-0.11985570192337036,0.11985570192337036
PC3,16,場合別2_体育的部活動,-0.11259060353040695,0.11259060353040695
PC3,17,発生場所2_学校外運動場・競技場,-0.09816020727157593,0.09816020727157593
PC3,18,場合別2_下校（降園）中,-0.07341732829809189,0.07341732829809189
PC3,19,場合別2_休憩時間中,-0.07327122241258621,0.07327122241258621
PC3,20,被災学年_3,0.07113855332136154,0.07113855332136154
PC4,1,性別_男,-0.6114438772201538,0.6114438772201538
PC4,2,性別_女,0.6114438772201538,0.6114438772201538
PC4,3,発生場所1_学校外（園外）,0.22041404247283936,0.22041404247283936
PC4,4,発生場所1_学校内・校舎内（園内・園舎内）,-0.2092597931623459,0.2092597931623459
PC4,5,場合別1_休憩時間,-0.159304678440094,0.159304678440094
PC4,6,通学方法_（欠損）,-0.11229010671377182,0.11229010671377182
PC4,7,場合別1_通学中,0.11229009926319122,0.11229009926319122
PC4,8,発生場所2_道路,0.10890109091997147,0.10890109091997147
PC4,9,場合別1_各教科等,-0.10300043970346451,0.10300043970346451
PC4,10,被災学校種_中,-0.09239960461854935,0.09239960461854935
PC4,11,場合別2_体育（保健体育）,-0.0836469903588295,0.0836469903588295
PC4,12,場合別1_課外指導,0.0833558738231659,0.0833558738231659
PC4,13,被災学年_1,0.0816437155008316,0.0816437155008316
PC4,14,発生場所2_体育館・屋内運動場,-0.07300734519958496,0.07300734519958496
PC4,15,場合別2_休憩時間中,-0.07258089631795883,0.07258089631795883
