因子,カテゴリ,全体件数,歯牙障害件数,歯牙障害割合（％）,公開上の注記
場合別2,その他,62,8,12.903225806451612,
場合別2,その他の教科,158,20,12.658227848101266,
場合別2,その他学級活動,31,7,22.58064516129032,
場合別2,その他集団宿泊的行事,55,12,21.818181818181817,
場合別2,その他（少数カテゴリ）,240,49,20.416666666666668,
場合別2,下校（降園）中,319,135,42.31974921630094,
場合別2,不明・記載なし,403,非表示（小集計保護）,非表示（小集計保護）,一次または二次セル抑制
場合別2,休憩時間中,632,94,14.873417721518987,
場合別2,体育的部活動,2755,674,24.464609800362975,
場合別2,体育（保健体育）,1087,192,17.66329346826127,
場合別2,修学旅行,30,6,20.0,
場合別2,始業前の特定時間中,199,24,12.060301507537687,
場合別2,学級（ホームルーム）活動,88,11,12.5,
場合別2,家庭（技術・家庭）,39,0,0.0,
場合別2,授業終了後の特定時間中,285,56,19.649122807017545,
場合別2,文化的部活動,48,7,14.583333333333334,
場合別2,日常の清掃,129,26,20.155038759689923,
場合別2,昼食時休憩時間中,528,76,14.393939393939394,
場合別2,理科,46,非表示（小集計保護）,非表示（小集計保護）,一次または二次セル抑制
場合別2,登校（登園）中,249,117,46.98795180722892,
場合別2,競技大会・球技大会,77,14,18.181818181818183,
場合別2,給食指導,55,5,9.090909090909092,
場合別2,総合的な学習の時間,46,7,15.217391304347828,
場合別2,運動会・体育祭,88,20,22.727272727272727,
場合別2,遠足,33,11,33.33333333333333,
通学方法,その他（少数カテゴリ）,32,非表示（小集計保護）,非表示（小集計保護）,一次または二次セル抑制
通学方法,不明・記載なし,7092,非表示（小集計保護）,非表示（小集計保護）,一次または二次セル抑制
通学方法,徒歩,202,43,21.287128712871286,
通学方法,自転車,356,218,61.23595505617978,
被災学校種,その他（少数カテゴリ）,42,非表示（小集計保護）,非表示（小集計保護）,一次または二次セル抑制
被災学校種,中,2225,386,17.34831460674157,
被災学校種,保,250,0,0.0,
被災学校種,小,1931,245,12.687726566545832,
被災学校種,幼,119,非表示（小集計保護）,非表示（小集計保護）,一次または二次セル抑制
被災学校種,特中,39,13,33.33333333333333,
被災学校種,特高,87,31,35.63218390804598,
被災学校種,高,2948,886,30.05427408412483,
被災学校種,高専,41,10,24.390243902439025,
場合別1,その他（少数カテゴリ）,23,非表示（小集計保護）,非表示（小集計保護）,一次または二次セル抑制
場合別1,休憩時間,1644,250,15.206812652068127,
場合別1,保育中,380,非表示（小集計保護）,非表示（小集計保護）,一次または二次セル抑制
場合別1,各教科等,1459,233,15.969842357779301,
場合別1,学校行事,375,79,21.066666666666666,
場合別1,特別活動（除学校行事）,365,64,17.534246575342465,
場合別1,課外指導,2846,687,24.1391426563598,
場合別1,通学中,590,262,44.40677966101695,
発生場所2,その他,379,59,15.567282321899736,
発生場所2,その他（少数カテゴリ）,84,10,11.904761904761903,
発生場所2,プール,108,16,14.814814814814813,
発生場所2,体育館・屋内運動場,1252,245,19.568690095846645,
発生場所2,便所,51,9,17.647058823529413,
発生場所2,公園・遊園地,53,12,22.641509433962266,
発生場所2,学校外体育館,173,40,23.121387283236995,
発生場所2,学校外運動場・競技場,493,119,24.137931034482758,
発生場所2,実習実験室,160,8,5.0,
発生場所2,山林野（含スキー場）,66,17,25.757575757575758,
発生場所2,廊下,488,96,19.672131147540984,
発生場所2,教室（保育室）,782,81,10.358056265984656,
発生場所2,昇降口・玄関,102,6,5.88235294117647,
発生場所2,遊戯室,30,0,0.0,
発生場所2,運動場・校庭（園庭）,2726,567,20.799706529713866,
発生場所2,道路,616,273,44.31818181818182,
発生場所2,階段,119,25,21.008403361344538,
