指標1,指標2,相関係数,絶対値
通学方法：不明・記載なし,場合別1：通学中,-1.0,1.0
場合別2：体育的部活動,場合別1：課外指導,0.9747544323770942,0.9747544323770942
場合別2：不明・記載なし,場合別1：保育中,0.969514303272455,0.969514303272455
場合別1：通学中,発生場所2：道路,0.8940702744071588,0.8940702744071588
通学方法：不明・記載なし,発生場所2：道路,-0.8940702744071584,0.8940702744071584
場合別2：体育（保健体育）,場合別1：各教科等,0.8384547446318813,0.8384547446318813
被災学校種：保,場合別1：保育中,0.8005986105398227,0.8005986105398227
場合別2：不明・記載なし,被災学校種：保,0.7761814395813096,0.7761814395813096
通学方法：自転車,場合別1：通学中,0.76427543245829,0.76427543245829
通学方法：自転車,発生場所2：道路,0.7374799483408675,0.7374799483408675
場合別2：下校（降園）中,場合別1：通学中,0.7216494732128625,0.7216494732128625
場合別2：下校（降園）中,通学方法：不明・記載なし,-0.7216494732128625,0.7216494732128625
場合別2：下校（降園）中,発生場所2：道路,0.63768817770623,0.63768817770623
場合別2：登校（登園）中,場合別1：通学中,0.6345647812166695,0.6345647812166695
場合別2：登校（登園）中,通学方法：不明・記載なし,-0.6345647812166689,0.6345647812166689
場合別2：登校（登園）中,通学方法：自転車,0.5890240270831584,0.5890240270831584
場合別2：日常の清掃,場合別1：特別活動（除学校行事）,0.5851338302095274,0.5851338302095274
場合別2：登校（登園）中,発生場所2：道路,0.5765844629229953,0.5765844629229953
場合別2：休憩時間中,場合別1：休憩時間,0.573798790390978,0.573798790390978
通学方法：徒歩,場合別1：通学中,0.5697485694848058,0.5697485694848058
場合別2：下校（降園）中,通学方法：徒歩,0.5652301803132791,0.5652301803132791
被災学校種：幼,場合別1：保育中,0.545003155706902,0.545003155706902
場合別2：不明・記載なし,被災学校種：幼,0.5283734628423918,0.5283734628423918
場合別2：昼食時休憩時間中,場合別1：休憩時間,0.5206407310938429,0.5206407310938429
場合別2：学級（ホームルーム）活動,場合別1：特別活動（除学校行事）,0.4819768011394124,0.4819768011394124
場合別2：運動会・体育祭,場合別1：学校行事,0.4751819763324354,0.4751819763324354
通学方法：徒歩,発生場所2：道路,0.4607156980528305,0.4607156980528305
場合別2：競技大会・球技大会,場合別1：学校行事,0.44417046124347953,0.44417046124347953
場合別2：下校（降園）中,通学方法：自転車,0.4414120888824155,0.4414120888824155
場合別2：体育的部活動,被災学校種：小,-0.4139038855800761,0.4139038855800761
被災学校種：小,場合別1：課外指導,-0.41034710912914335,0.41034710912914335
被災学校種：小,場合別1：休憩時間,0.4080899323315994,0.4080899323315994
場合別2：体育的部活動,被災学校種：高,0.40451704772376795,0.40451704772376795
被災学校種：高,場合別1：課外指導,0.40287651269660546,0.40287651269660546
場合別2：体育的部活動,場合別1：休憩時間,-0.39018796758395563,0.39018796758395563
場合別2：家庭（技術・家庭）,発生場所2：実習実験室,0.3871806146880454,0.3871806146880454
場合別2：給食指導,場合別1：特別活動（除学校行事）,0.3802109031945821,0.3802109031945821
場合別2：授業終了後の特定時間中,場合別1：休憩時間,0.3761752934177108,0.3761752934177108
場合別2：その他集団宿泊的行事,場合別1：学校行事,0.3748507562522336,0.3748507562522336
場合別2：体育的部活動,場合別1：各教科等,-0.3620739383228987,0.3620739383228987
場合別2：体育（保健体育）,発生場所2：体育館・屋内運動場,0.34668824719971136,0.34668824719971136
場合別2：体育的部活動,発生場所2：学校外運動場・競技場,0.33137446611015486,0.33137446611015486
場合別2：遠足,発生場所2：公園・遊園地,0.33116964320897596,0.33116964320897596
場合別1：課外指導,発生場所2：学校外運動場・競技場,0.32376328330423215,0.32376328330423215
場合別2：始業前の特定時間中,場合別1：休憩時間,0.3125246758032665,0.3125246758032665
場合別2：体育（保健体育）,場合別1：課外指導,-0.31144522293071275,0.31144522293071275
被災学校種：高,場合別1：休憩時間,-0.3079934985678232,0.3079934985678232
場合別2：その他の教科,場合別1：各教科等,0.29927911062151613,0.29927911062151613
場合別2：その他集団宿泊的行事,発生場所2：山林野（含スキー場）,0.2932241950336878,0.2932241950336878
場合別2：遠足,場合別1：学校行事,0.28994028354466966,0.28994028354466966
場合別2：その他学級活動,場合別1：特別活動（除学校行事）,0.28499801896929267,0.28499801896929267
場合別1：休憩時間,発生場所2：廊下,0.28311973279566294,0.28311973279566294
場合別2：休憩時間中,被災学校種：小,0.27644744244657354,0.27644744244657354
場合別2：修学旅行,場合別1：学校行事,0.27639301699424007,0.27639301699424007
場合別1：各教科等,発生場所2：体育館・屋内運動場,0.26795872440426016,0.26795872440426016
場合別2：体育的部活動,発生場所2：教室（保育室）,-0.24814725843878846,0.24814725843878846
場合別1：その他（少数カテゴリ）,発生場所2：その他,0.24055197591354974,0.24055197591354974
場合別1：課外指導,発生場所2：教室（保育室）,-0.2377547920365498,0.2377547920365498
場合別2：その他（少数カテゴリ）,場合別1：学校行事,0.23711527348834083,0.23711527348834083
場合別1：保育中,発生場所2：遊戯室,0.2359735345954031,0.2359735345954031
場合別2：不明・記載なし,場合別1：その他（少数カテゴリ）,0.23289556578631038,0.23289556578631038
場合別2：休憩時間中,場合別1：課外指導,-0.22968798744397598,0.22968798744397598
場合別2：不明・記載なし,発生場所2：遊戯室,0.22866177082271372,0.22866177082271372
場合別2：休憩時間中,発生場所2：廊下,0.22502463700360703,0.22502463700360703
場合別2：理科,発生場所2：実習実験室,0.2249812990565737,0.2249812990565737
場合別1：休憩時間,発生場所2：教室（保育室）,0.22425654268357662,0.22425654268357662
通学方法：その他（少数カテゴリ）,場合別1：通学中,0.22423460154581076,0.22423460154581076
通学方法：不明・記載なし,場合別1：課外指導,0.2212666415915698,0.2212666415915698
場合別2：登校（登園）中,通学方法：徒歩,0.21798421802179038,0.21798421802179038
場合別2：体育的部活動,場合別1：通学中,-0.2156806396285773,0.2156806396285773
場合別2：体育的部活動,通学方法：不明・記載なし,0.21568063962857675,0.21568063962857675
場合別1：通学中,発生場所2：運動場・校庭（園庭）,-0.21289212927569182,0.21289212927569182
通学方法：不明・記載なし,発生場所2：運動場・校庭（園庭）,0.21289212927569157,0.21289212927569157
場合別2：体育（保健体育）,場合別1：休憩時間,-0.2118418324012712,0.2118418324012712
場合別2：体育的部活動,発生場所2：運動場・校庭（園庭）,0.21180521441011585,0.21180521441011585
場合別2：昼食時休憩時間中,場合別1：課外指導,-0.20840915615179487,0.20840915615179487
場合別1：保育中,発生場所2：教室（保育室）,0.20710485408253154,0.20710485408253154
被災学校種：小,場合別1：特別活動（除学校行事）,0.20347810084422938,0.20347810084422938
場合別1：学校行事,発生場所2：山林野（含スキー場）,0.20146362962366884,0.20146362962366884
被災学校種：高,発生場所2：教室（保育室）,-0.20015250299762463,0.20015250299762463
場合別2：昼食時休憩時間中,被災学校種：小,0.198408234568995,0.198408234568995
被災学校種：保,発生場所2：教室（保育室）,0.1978573895318845,0.1978573895318845
場合別2：不明・記載なし,発生場所2：教室（保育室）,0.19690474187872073,0.19690474187872073
場合別1：課外指導,発生場所2：運動場・校庭（園庭）,0.19609464669090246,0.19609464669090246
場合別2：休憩時間中,被災学校種：高,-0.1895116421476447,0.1895116421476447
場合別1：課外指導,発生場所2：道路,-0.1887895021701989,0.1887895021701989
被災学校種：保,発生場所2：遊戯室,0.18848028146745702,0.18848028146745702
場合別2：休憩時間中,発生場所2：教室（保育室）,0.18748185123168676,0.18748185123168676
場合別2：体育的部活動,発生場所2：学校外体育館,0.18651973548124345,0.18651973548124345
場合別2：体育的部活動,発生場所2：道路,-0.1858073178220541,0.1858073178220541
場合別1：課外指導,発生場所2：学校外体育館,0.1833257116152287,0.1833257116152287
場合別2：不明・記載なし,場合別1：課外指導,-0.1805057185257,0.1805057185257
通学方法：徒歩,被災学校種：小,0.18045459853407403,0.18045459853407403
場合別2：その他集団宿泊的行事,発生場所2：その他,0.1802747035112326,0.1802747035112326
被災学校種：高,場合別1：保育中,-0.18001989199222174,0.18001989199222174
場合別1：各教科等,発生場所2：実習実験室,0.1780399054913621,0.1780399054913621
被災学校種：高,発生場所2：学校外運動場・競技場,0.17783514034979642,0.17783514034979642
場合別2：昼食時休憩時間中,被災学校種：高,-0.17417807950425424,0.17417807950425424
場合別2：体育的部活動,場合別1：保育中,-0.17058482899456398,0.17058482899456398
場合別2：不明・記載なし,被災学校種：高,-0.17007234200102428,0.17007234200102428
