解析,設定,項目,調整オッズ比,95%CI下限,95%CI上限,LR検定自由度,交互作用全体のLR検定p値,解析対象件数,解析対象学校種
交互作用,通学中×学校種,切片,0.4069458996406511,0.3687369400888974,0.4491141169485591,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,場合別1：その他（少数カテゴリ）（対 課外指導）,0.6610262460486828,0.18463562107961187,2.3665839528159385,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,場合別1：休憩時間（対 課外指導）,0.8828799197303098,0.7236205926613493,1.077190119474377,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,場合別1：各教科等（対 課外指導）,0.7564917314607438,0.6332319597996648,0.9037442455518604,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,場合別1：学校行事（対 課外指導）,0.9697753835999453,0.731874904819681,1.2850068890777615,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,場合別1：特別活動（除学校行事）（対 課外指導）,1.087567783789617,0.7898215985735461,1.4975580390220484,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,場合別1：通学中（対 課外指導）,3.2241887342649416,2.5074272202867,4.145840369784434,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,被災学校種：中（対 高）,0.49878809832637105,0.42820390913042233,0.5810072297968238,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,被災学校種：小（対 高）,0.3876081390435083,0.314240311772371,0.47810565298064756,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,性別：女（対 男）,0.8950087268502389,0.7781882770182978,1.0293660863246987,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,給付年度（西暦換算・標準化）,0.8120601698912321,0.764764772130066,0.862280460025718,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,交互作用：通学中×中（対 高）,1.398066628997489,0.8907784216233859,2.1942497165055803,2,0.00037080724643266666,7104,高（基準）・中・小のみ
交互作用,通学中×学校種,交互作用：通学中×小（対 高）,0.4569931378410351,0.27417219041966556,0.761721047324775,2,0.00037080724643266666,7104,高（基準）・中・小のみ
