項目,VIF,R2,判定
場合別1：その他（少数カテゴリ）（対 課外指導）,7.925111180546988,0.8738188049077968,要確認
被災学校種：その他（少数カテゴリ）（対 高）,7.861507426576157,0.8727979322872026,要確認
被災学校種：小（対 高）,1.8899538851931816,0.4708865608655922,大きな問題なし
場合別1：休憩時間（対 課外指導）,1.7735548572732203,0.43616066010077315,大きな問題なし
場合別1：各教科等（対 課外指導）,1.3753813190892443,0.2729289062452992,大きな問題なし
被災学校種：中（対 高）,1.3376687722039384,0.25243078048955014,大きな問題なし
場合別1：特別活動（除学校行事）（対 課外指導）,1.2465040283657303,0.19775630303330627,大きな問題なし
場合別1：通学中（対 課外指導）,1.15820663572908,0.13659620904303515,大きな問題なし
場合別1：学校行事（対 課外指導）,1.1090780486964515,0.09835020071369704,大きな問題なし
性別：女（対 男）,1.0566252324948444,0.05359064950696302,大きな問題なし
被災学校種：特高（対 高）,1.0445571012582962,0.04265645334718571,大きな問題なし
被災学校種：特中（対 高）,1.024310627015793,0.023733647171677807,大きな問題なし
被災学校種：高専（対 高）,1.0116478579908388,0.011513747495073834,大きな問題なし
給付年度（西暦換算・標準化）,1.0111933667662338,0.011069462215748005,大きな問題なし
