項目,観測上位値,観測下位値,全体観測件数,下位から上位を自動補完,備考
場合別,休憩時間,休憩時間中,632,可,
場合別,休憩時間,始業前の特定時間中,199,可,
場合別,休憩時間,授業終了後の特定時間中,285,可,
場合別,休憩時間,昼食時休憩時間中,528,可,
場合別,保育中,null,380,不可,構造的に下位項目なし・文字列「欠損」を出力しない
場合別,各教科等,その他,3,不可,その他は複数の上位値に存在
場合別,各教科等,その他の教科,158,可,
場合別,各教科等,体育（保健体育）,1087,可,
場合別,各教科等,図画工作（美術）,25,可,
場合別,各教科等,家庭（技術・家庭）,39,可,
場合別,各教科等,工業,21,可,
場合別,各教科等,理科,46,可,
場合別,各教科等,総合的な学習の時間,46,可,
場合別,各教科等,自立活動,24,可,
場合別,各教科等,農業,9,可,少数分類
場合別,各教科等,道徳,1,可,極少数分類・明記時のみ
場合別,学校行事,その他,12,不可,その他は複数の上位値に存在
場合別,学校行事,その他健康安全・体育的行事,26,可,
場合別,学校行事,その他儀式的行事,8,可,少数分類
場合別,学校行事,その他集団宿泊的行事,55,可,
場合別,学校行事,修学旅行,30,可,
場合別,学校行事,勤労生産・奉仕的行事,6,可,少数分類
場合別,学校行事,大掃除,13,可,
場合別,学校行事,文化的行事,27,可,
場合別,学校行事,競技大会・球技大会,77,可,
場合別,学校行事,運動会・体育祭,88,可,
場合別,学校行事,遠足,33,可,
場合別,寄宿舎にあるとき,null,23,不可,構造的に下位項目なし・文字列「欠損」を出力しない
場合別,特別活動（除学校行事）,その他,16,不可,その他は複数の上位値に存在
場合別,特別活動（除学校行事）,その他学級活動,31,可,
場合別,特別活動（除学校行事）,体育的クラブ活動,20,可,
場合別,特別活動（除学校行事）,児童（生徒・学生）会活動,19,可,
場合別,特別活動（除学校行事）,学級（ホームルーム）活動,88,可,
場合別,特別活動（除学校行事）,文化的クラブ活動,7,可,少数分類
場合別,特別活動（除学校行事）,日常の清掃,129,可,
場合別,特別活動（除学校行事）,給食指導,55,可,
場合別,課外指導,その他,31,不可,その他は複数の上位値に存在
場合別,課外指導,体育的部活動,2755,可,
場合別,課外指導,文化的部活動,48,可,
場合別,課外指導,林間学校,2,可,極少数分類・明記時のみ
場合別,課外指導,水泳指導,10,可,明記時のみ
場合別,通学中,下校（降園）中,319,可,
場合別,通学中,登校（登園）中,249,可,
場合別,通学中,通学（通園）に準ずるとき,22,可,
発生場所,学校内・校舎内（園内・園舎内）,その他,112,不可,その他は複数の上位値に存在
発生場所,学校内・校舎内（園内・園舎内）,ベランダ,17,可,
発生場所,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,1252,可,
発生場所,学校内・校舎内（園内・園舎内）,便所,51,可,
発生場所,学校内・校舎内（園内・園舎内）,実習実験室,160,可,
発生場所,学校内・校舎内（園内・園舎内）,屋上,3,可,極少数分類・明記時のみ
発生場所,学校内・校舎内（園内・園舎内）,廊下,488,可,
発生場所,学校内・校舎内（園内・園舎内）,教室（保育室）,782,可,
発生場所,学校内・校舎内（園内・園舎内）,昇降口・玄関,102,可,
発生場所,学校内・校舎内（園内・園舎内）,講堂,18,可,
発生場所,学校内・校舎内（園内・園舎内）,遊戯室,29,可,旧公式ガイドでは校舎内に対応・校舎外1件は登録疑義
発生場所,学校内・校舎内（園内・園舎内）,階段,119,可,
発生場所,学校内・校舎外（園内・園舎外）,その他,91,不可,その他は複数の上位値に存在
発生場所,学校内・校舎外（園内・園舎外）,プール,108,可,
発生場所,学校内・校舎外（園内・園舎外）,手足洗場,3,可,極少数分類・明記時のみ
発生場所,学校内・校舎外（園内・園舎外）,排水溝,2,可,極少数分類・明記時のみ
発生場所,学校内・校舎外（園内・園舎外）,水飲み場,2,可,極少数分類・明記時のみ
発生場所,学校内・校舎外（園内・園舎外）,農場,7,可,少数分類
発生場所,学校内・校舎外（園内・園舎外）,遊戯室,1,不可,原文は運動場で登録疑義・許容規則に使用しない
発生場所,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,2719,不可,学校外にも存在
発生場所,学校外（園外）,その他,176,不可,その他は複数の上位値に存在
発生場所,学校外（園外）,公園,1,可,極少数分類・明記時のみ
発生場所,学校外（園外）,公園・遊園地,53,可,
発生場所,学校外（園外）,学校外体育館,173,可,
発生場所,学校外（園外）,学校外運動場・競技場,493,可,
発生場所,学校外（園外）,山林野（含スキー場）,66,可,
発生場所,学校外（園外）,河川,14,可,
発生場所,学校外（園外）,海・湖・沼・池,17,可,
発生場所,学校外（園外）,運動場・校庭（園庭）,7,不可,旧公式ガイドの学校外は運動場・競技場・表記または登録揺れを要確認
発生場所,学校外（園外）,道路,616,可,
