項目,観測値,全体件数,候補生成方針,備考
競技種目,野球（含軟式）,1117,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,サッカー・フットサル,500,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,バスケットボール,345,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,ソフトボール,213,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,バレーボール,158,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,柔道,142,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,バドミントン,137,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,その他,127,手入力,既知の分類に一致しないことをLLMだけで確定しない
競技種目,テニス（含ソフトテニス）,111,文脈確認後候補,硬式・軟式を含み本人が事故時に競技していたことを確認
競技種目,ラグビー,104,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,水泳,93,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,持久走・長距離走,91,明記時のみ,
競技種目,マット運動,83,明記時のみ,
競技種目,ハンドボール,67,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,跳箱運動,63,明記時のみ,
競技種目,球技（その他）,45,手入力,具体的競技が既存分類にない場合の運用確認が必要
競技種目,体操（組体操）,39,明記時のみ,
競技種目,卓球,39,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,短距離走,37,明記時のみ,
競技種目,走り高跳び,35,明記時のみ,
競技種目,鉄棒運動,35,明記時のみ,遊具等の鉄棒と区別
競技種目,陸上競技（その他）,34,手入力,具体種目が不明な陸上競技のみ
競技種目,準備・整理運動,33,明記時のみ,
競技種目,剣道,30,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,ホッケー,27,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,体操（その他）,24,手入力,組体操等の既存分類との区別が必要
競技種目,ドッジボール,23,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,スキー,19,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,投てき,18,明記時のみ,
競技種目,自転車競技,14,明記時のみ,通学方法の自転車と区別
競技種目,空手,12,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,ボクシング,12,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,レスリング,12,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,筋力トレーニング,11,明記時のみ,
競技種目,障害走（ハードル）,11,明記時のみ,
競技種目,相撲,10,文脈確認後候補,本人が事故時に競技していたことを確認
競技種目,走り幅跳び,10,明記時のみ,
競技種目,弓道,9,明記時のみ,少数分類
競技種目,器械体操・新体操（その他）,7,手入力,少数かつ他の体操分類との区別が必要
競技種目,縄跳び,7,明記時のみ,少数分類
競技種目,ポートボール,4,明記時のみ,極少数分類
競技種目,スケート,3,明記時のみ,極少数分類
競技種目,運動なし,3,手入力,否定表現の誤読防止
競技種目,武道等（その他）,3,手入力,極少数かつ他の武道分類との区別が必要
競技種目,登山,2,明記時のみ,極少数分類
競技種目,ヨット,2,明記時のみ,極少数分類
競技種目,準備運動等,1,手入力,準備・整理運動との整理が必要
競技種目,自転車競技部,1,手入力,自転車競技との整理が必要
通学方法,自転車,356,文脈確認後候補,通学中かつ本人の事故時の手段であることを確認
通学方法,徒歩,202,文脈確認後候補,通学中かつ本人の事故時の手段であることを確認
通学方法,原動機付自転車,18,明記時のみ,自転車と区別
通学方法,鉄道,8,明記時のみ,少数分類
通学方法,バス,4,明記時のみ,極少数分類
通学方法,自動車,1,明記時のみ,極少数分類
通学方法,その他,1,手入力,LLMによる自動確定を行わない
遊具等,鉄棒,72,明記時のみ,競技種目の鉄棒運動と区別
遊具等,ぶらんこ,41,文脈確認後候補,本人が事故時に使用していたことを確認
遊具等,その他,31,手入力,既知の分類に一致しないことをLLMだけで確定しない
遊具等,すべり台,29,文脈確認後候補,本人が事故時に使用していたことを確認
遊具等,総合遊具・アスレティック,22,明記時のみ,
遊具等,雲てい,17,明記時のみ,
遊具等,ジャングルジム,17,明記時のみ,
遊具等,シーソー,12,明記時のみ,
遊具等,固定タイヤ,9,明記時のみ,少数分類
遊具等,砂場,9,明記時のみ,少数分類
遊具等,登り棒,7,明記時のみ,少数分類
遊具等,回旋塔,4,明記時のみ,極少数分類
遊具等,施設を使用していない,3,手入力,否定表現の誤読防止
遊具等,遊動円木,2,明記時のみ,極少数分類
