rule_id,項目,原文表現,DB候補値,必要条件,主な除外条件,候補生成区分
SYN_CASE_001,場合別2,登校中,登校（登園）中,事故発生時点を示す,予定・過去・他者の登校,候補のみ
SYN_CASE_002,場合別2,登園中,登校（登園）中,事故発生時点を示す,予定・過去・他者の登園,候補のみ
SYN_CASE_003,場合別2,下校中,下校（降園）中,事故発生時点を示す,予定・過去・他者の下校,候補のみ
SYN_CASE_004,場合別2,降園中,下校（降園）中,事故発生時点を示す,予定・過去・他者の降園,候補のみ
SYN_CASE_005,場合別2,体育の授業中,体育（保健体育）,事故発生時点を直接示す,部活動・別場面・引用,候補のみ
SYN_CASE_006,場合別2,保健体育の授業中,体育（保健体育）,事故発生時点を直接示す,部活動・別場面・引用,候補のみ
SYN_CASE_007,場合別2,運動部活動,体育的部活動,課外の部活動中を示す,授業・クラブ活動・他者の活動,候補のみ
SYN_CASE_008,場合別2,文化部活動,文化的部活動,課外の部活動中を示す,授業・クラブ活動・他者の活動,候補のみ
SYN_CASE_009,場合別2,ホームルーム,学級（ホームルーム）活動,事故発生時の活動を示す,場所名・予定・別場面,候補のみ
SYN_CASE_010,場合別2,HR活動,学級（ホームルーム）活動,事故発生時の活動を示す,場所名・予定・別場面,候補のみ
SYN_CASE_011,場合別2,昼休み,昼食時休憩時間中,事故発生時点を示す,昼休み前後・別場面,候補のみ
SYN_CASE_012,場合別2,休み時間,休憩時間中,事故発生時点を示す,昼休み・始業前・放課後・別場面,条件付き候補
SYN_PLACE_001,発生場所2,校庭,運動場・校庭（園庭）,事故発生場所を示す,移動先・過去場面・他校等で学校内外不明,条件付き候補
SYN_PLACE_002,発生場所2,園庭,運動場・校庭（園庭）,事故発生場所を示す,移動先・過去場面・学校内外不明,条件付き候補
SYN_PLACE_003,発生場所2,グラウンド,運動場・校庭（園庭）,事故発生場所を示す,学校外運動場・競技場との区別不能,条件付き候補
SYN_PLACE_004,発生場所2,体育館,体育館・屋内運動場,事故発生場所かつ学校内施設と分かる,学校外体育館・移動先・別場面,条件付き候補
SYN_PLACE_005,発生場所2,屋内運動場,体育館・屋内運動場,事故発生場所かつ学校内施設と分かる,学校外施設・移動先・別場面,条件付き候補
SYN_PLACE_006,発生場所2,教室,教室（保育室）,事故発生場所を示す,教室から移動後・実習実験室・別場面,条件付き候補
SYN_PLACE_007,発生場所2,保育室,教室（保育室）,事故発生場所を示す,移動先・別場面,条件付き候補
SYN_PLACE_008,発生場所2,トイレ,便所,事故発生場所を示す,トイレへ移動中・トイレ後・別場面,条件付き候補
SYN_PLACE_009,発生場所2,路上,道路,事故発生場所を示す,目的地・別場面・引用,条件付き候補
SYN_PLACE_010,発生場所2,車道,道路,事故発生場所を示す,目的地・別場面・引用,条件付き候補
SYN_PLACE_011,発生場所2,歩道,道路,事故発生場所を示す,目的地・別場面・引用,条件付き候補
SYN_SPORT_001,競技種目,軟式野球,野球（含軟式）,本人が事故時に競技していた,用具・観戦・他者・過去・予定,条件付き候補
SYN_SPORT_002,競技種目,野球,野球（含軟式）,本人が事故時に競技していた,用具・観戦・他者・過去・予定,条件付き候補
SYN_SPORT_003,競技種目,サッカー,サッカー・フットサル,本人が事故時に競技していた,用具・観戦・他者・過去・予定,条件付き候補
SYN_SPORT_004,競技種目,フットサル,サッカー・フットサル,本人が事故時に競技していた,用具・観戦・他者・過去・予定,条件付き候補
SYN_SPORT_005,競技種目,バスケ,バスケットボール,本人が事故時に競技していた,用具・観戦・他者・過去・予定,条件付き候補
SYN_SPORT_006,競技種目,ソフトテニス,テニス（含ソフトテニス）,本人が事故時に競技していた,用具・観戦・他者・過去・予定,条件付き候補
SYN_SPORT_007,競技種目,軟式テニス,テニス（含ソフトテニス）,本人が事故時に競技していた,用具・観戦・他者・過去・予定,条件付き候補
SYN_SPORT_008,競技種目,硬式テニス,テニス（含ソフトテニス）,本人が事故時に競技していた,用具・観戦・他者・過去・予定,条件付き候補
SYN_SPORT_009,競技種目,ドッジ,ドッジボール,本人が事故時に競技していた,用具・観戦・他者・過去・予定,条件付き候補
SYN_SPORT_010,競技種目,ハードル,障害走（ハードル）,本人が事故時に競技していた,用具・設置作業・他者・過去・予定,条件付き候補
