語,カテゴリ,サブカテゴリ
前歯,受傷部位,歯牙
歯牙,受傷部位,歯牙
中切歯,受傷部位,歯牙
側切歯,受傷部位,歯牙
犬歯,受傷部位,歯牙
小臼歯,受傷部位,歯牙
大臼歯,受傷部位,歯牙
上顎,受傷部位,顎顔面
下顎,受傷部位,顎顔面
顎,受傷部位,顎顔面
顔面,受傷部位,顎顔面
頭部,受傷部位,頭部
眼,受傷部位,眼
目,受傷部位,眼
手,受傷部位,上肢
指,受傷部位,上肢
足,受傷部位,下肢
転倒,受傷機転,転倒
転ぶ,受傷機転,転倒
倒れる,受傷機転,転倒
転落,受傷機転,転落
落下,受傷機転,転落
衝突,受傷機転,衝突
ぶつかる,受傷機転,衝突
接触,受傷機転,接触
挟まる,受傷機転,挟圧
切る,受傷機転,切創
滑る,受傷機転,滑走
つまずく,受傷機転,つまずき
ボール,原因物,スポーツ用具
球,原因物,スポーツ用具
バット,原因物,スポーツ用具
ラケット,原因物,スポーツ用具
自転車,原因物,乗り物
自動車,原因物,乗り物
車,原因物,乗り物
遊具,原因物,遊具
鉄棒,原因物,遊具
ブランコ,原因物,遊具
滑り台,原因物,遊具
地面,衝突対象,地面
床,衝突対象,床
壁,衝突対象,壁
柱,衝突対象,柱
階段,衝突対象,階段
ハンドル,衝突対象,自転車部品
走る,行動,移動
歩く,行動,移動
跳ぶ,行動,運動
投げる,行動,球技
蹴る,行動,球技
乗る,行動,乗車
登る,行動,昇降
降りる,行動,昇降
段差,環境要因,路面
縁石,環境要因,路面
雨,環境要因,天候
雪,環境要因,天候
凍結,環境要因,路面
水,環境要因,路面
破折,傷害結果,歯牙破折
脱臼,傷害結果,脱臼
欠損,傷害結果,欠損
骨折,傷害結果,骨折
裂傷,傷害結果,裂傷
切創,傷害結果,切創
熱傷,傷害結果,熱傷
